./nestedMerge/EQ_divideEQ_odd/libA: equiv,12.2410  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_divideEQ_pos/libA: equiv,11.3035  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_divideEQ_pos2/libA: equiv,11.3386  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_divideEXTRA_ultra_prime_sum/libA: equiv,42.3888  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_getSign2EQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_getSign2EQ_is_prime2/libA: equiv,1.0814   ; unknown,0.0000   ; not equiv,0.7003  
./nestedMerge/EQ_getSign2EQ_odd/libA: equiv,11.0436  ; unknown,0.0000   ; equiv,15.0186 
./nestedMerge/EQ_getSign2EQ_pos/libA: equiv,11.2540  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_getSign2EQ_pos2/libA: equiv,11.3738  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_getSign2EXTRA_ultra_prime_sum/libA: equiv,42.3950  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_is_prime1EQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_is_prime1EQ_is_prime2/libA: equiv,1.0297   ; unknown,0.0000   ; not equiv,0.6717  
./nestedMerge/EQ_is_prime1EQ_odd/libA: equiv,0.6916   ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_is_prime1EQ_pos/libA: equiv,11.2596  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_is_prime1EQ_pos2/libA: equiv,11.3190  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_is_prime1EXTRA_ultra_prime_sum/libA: equiv,83.9818  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_is_prime2EQ_Add/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_is_prime2EQ_Const/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
