./nestedMerge/EQ_LoopMult20EQ_getSign2/libA: equiv,2.6214   ; equiv,2.6630   ; equiv,0.9758   ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20EQ_is_prime1/libA: equiv,3.0810   ; equiv,2.7603   ; equiv,0.9154   ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20EQ_is_prime2/libA: not equiv,2.8565   ; not equiv,3.3102   ; not equiv,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20EQ_is_prime3/libA: equiv,4.4243   ; equiv,4.2804   ; equiv,1.9547   ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20EQ_ltfive/libA: equiv,1.0889   ; equiv,1.1842   ; equiv,0.5763   ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20EQ_ltfiveBound/libA: equiv,1.1696   ; equiv,1.3175   ; equiv,0.6555   ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20EQ_multiple/libA: equiv,2.6751   ; equiv,2.6110   ; equiv,0.7987   ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20EQ_multipleBound/libA: equiv,2.5779   ; equiv,2.5709   ; equiv,0.8753   ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20EQ_odd/libA: equiv,3.1282   ; equiv,2.8727   ; equiv,1.1181   ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20EQ_one/libA: equiv,1.0968   ; equiv,1.3084   ; equiv,0.6222   ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20EQ_oneBound/libA: equiv,1.1100   ; equiv,1.5100   ; equiv,0.6642   ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20EQ_oneN2/libA: equiv,0.9951   ; equiv,1.1744   ; equiv,0.6267   ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20EQ_pos/libA: equiv,1.5900   ; equiv,1.8210   ; equiv,1.1148   ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20EQ_pos2/libA: equiv,0.6485   ; equiv,0.7662   ; equiv,0.4064   ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20EQ_pos3/libA: equiv,2.6201   ; equiv,2.4867   ; equiv,0.7831   ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20EXTRA_ultra_prime_sum/libA: equiv,103.8204 ; equiv,76.2145  ; equiv,140.2590 ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20NEQ_LoopMult20/libA: not equiv,5.7808   ; not equiv,3.2279   ; not equiv,2.2863   ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20NEQ_LoopUnreach20/libA: not equiv,0.5552   ; not equiv,0.5356   ; not equiv,0.1856   ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20NEQ_getSign/libA: equiv,1.2556   ; equiv,1.2587   ; equiv,0.5528   ; unknown,0.0000  
./nestedMerge/EQ_LoopUnreach20EQ_LoopMult20/libA: equiv,2.3352   ; equiv,2.0105   ; equiv,1.3408   ; unknown,0.0000  
./nestedMerge/EQ_LoopUnreach20EQ_UnchLoop/libA: equiv,40.3368  ; equiv,40.6109  ; equiv,40.4030  ; unknown,0.0000  
./nestedMerge/EQ_LoopUnreach20EQ_odd/libA: equiv,3.2140   ; equiv,2.7944   ; equiv,1.1002   ; unknown,0.0000  
./nestedMerge/EQ_LoopUnreach20EQ_pos/libA: equiv,1.6483   ; equiv,2.0652   ; equiv,1.3117   ; unknown,0.0000  
./nestedMerge/EQ_LoopUnreach20EQ_pos2/libA: equiv,0.5757   ; equiv,0.8474   ; equiv,0.4046   ; unknown,0.0000  
./nestedMerge/EQ_LoopUnreach20EXTRA_ultra_prime_sum/libA: equiv,102.9978 ; equiv,73.9286  ; equiv,135.5683 ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_Add/libA: equiv,0.2026   ; equiv,0.1797   ; equiv,0.0543   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_Const/libA: equiv,0.1815   ; equiv,0.1833   ; equiv,0.0570   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_LoopMult20/libA: equiv,1.1715   ; equiv,1.1603   ; equiv,0.4211   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_LoopUnreach20/libA: equiv,1.1709   ; equiv,1.1754   ; equiv,0.4256   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_UnchLoop/libA: equiv,40.3326  ; equiv,40.6183  ; equiv,40.4358  ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_divide/libA: equiv,0.4587   ; equiv,0.4756   ; equiv,0.1457   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_getSign2/libA: equiv,2.4086   ; equiv,2.3124   ; equiv,0.5930   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_is_prime1/libA: equiv,2.5610   ; equiv,2.7683   ; equiv,0.9899   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_is_prime2/libA: equiv,4.9527   ; equiv,5.8239   ; equiv,3.2578   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_is_prime3/libA: equiv,3.4849   ; equiv,3.6657   ; equiv,1.1291   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_ltfive/libA: equiv,3.0520   ; equiv,3.6771   ; equiv,1.4662   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_ltfiveBound/libA: equiv,1.0469   ; equiv,1.3713   ; equiv,0.6592   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_multiple/libA: equiv,2.2873   ; equiv,2.3650   ; equiv,0.6432   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_multipleBound/libA: equiv,2.4041   ; equiv,2.4418   ; equiv,0.6055   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_odd/libA: equiv,2.6365   ; equiv,2.3906   ; equiv,0.6601   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_one/libA: not equiv,1.6087   ; not equiv,2.0987   ; not equiv,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_oneBound/libA: equiv,1.0313   ; equiv,1.2041   ; equiv,0.5963   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_oneN2/libA: equiv,3.1636   ; equiv,3.6875   ; equiv,1.4409   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_pos/libA: equiv,12.8657  ; equiv,13.2531  ; equiv,12.6020  ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEQ_pos2/libA: equiv,0.6633   ; equiv,0.9183   ; equiv,0.3722   ; unknown,0.0000  
