./nestedMerge/EQ_UnchLoopEQ_pos2/libA: equiv,0.2772   ; unknown,0.0000   ; equiv,0.1022   ; not equiv,0.0300  
./nestedMerge/EQ_UnchLoopEQ_pos3/libA: equiv,0.9401   ; unknown,0.0000   ; equiv,0.1092   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopEXTRA_ultra_prime_sum/libA: equiv,82.1687  ; unknown,0.0000   ; equiv,0.1255   ; timeout,300.0000
./nestedMerge/EQ_UnchLoopNEQ_LoopMult20/libA: equiv,1.0629   ; unknown,0.0000   ; equiv,0.0963   ; equiv,0.0400  
./nestedMerge/EQ_UnchLoopNEQ_LoopUnreach20/libA: equiv,0.9191   ; unknown,0.0000   ; equiv,0.0998   ; equiv,0.0400  
./nestedMerge/EQ_UnchLoopNEQ_getSign/libA: equiv,0.9379   ; unknown,0.0000   ; equiv,0.0956   ; equiv,0.0200  
./nestedMerge/EQ_divideEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_divideEQ_is_prime2/libA: not equiv,1.6461   ; unknown,0.0000   ; not equiv,0.7501   ; unknown,0.0200  
./nestedMerge/EQ_divideEQ_odd/libA: equiv,12.7006  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_divideEQ_pos/libA: equiv,22.4055  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0400  
./nestedMerge/EQ_divideEQ_pos2/libA: equiv,0.3406   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./nestedMerge/EQ_divideEXTRA_ultra_prime_sum/libA: equiv,76.2706  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.7000  
./nestedMerge/EQ_getSign2EQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0200  
./nestedMerge/EQ_getSign2EQ_is_prime2/libA: not equiv,1.5743   ; unknown,0.0000   ; not equiv,0.6883   ; unknown,0.0300  
./nestedMerge/EQ_getSign2EQ_odd/libA: equiv,11.3445  ; unknown,0.0000   ; equiv,14.1298  ; unknown,0.0400  
./nestedMerge/EQ_getSign2EQ_pos/libA: equiv,22.3173  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_getSign2EQ_pos2/libA: equiv,0.3187   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0300  
./nestedMerge/EQ_getSign2EXTRA_ultra_prime_sum/libA: equiv,76.8805  ; unknown,0.0000   ; timeout,300.0000 ; unknown,1.6400  
./nestedMerge/EQ_is_prime1EQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_is_prime1EQ_is_prime2/libA: not equiv,1.5717   ; unknown,0.0000   ; not equiv,0.7389   ; unknown,0.0200  
./nestedMerge/EQ_is_prime1EQ_odd/libA: equiv,12.6506  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_is_prime1EQ_pos/libA: equiv,11.2977  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0300  
