./nestedMerge/EQ_LoopUnreach20EXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,83.8505  (Solve) ,,82.562 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.4192  	llReve: timeout  ,300.0000
./nestedMerge/EQ_UnchLoopEQ_Add/libA CC2-Hybrid: equiv    ,0.1666   (Solve) ,,0.033  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0977  	llReve: equiv    ,0.0300  
./nestedMerge/EQ_UnchLoopEQ_Const/libA CC2-Hybrid: equiv    ,0.1461   (Solve) ,,0.032  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0987  	llReve: equiv    ,0.0300  
./nestedMerge/EQ_UnchLoopEQ_LoopMult20/libA CC2-Hybrid: equiv    ,1.0226   (Solve) ,,0.295  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0996  	llReve: equiv    ,0.0300  
./nestedMerge/EQ_UnchLoopEQ_LoopUnreach20/libA CC2-Hybrid: equiv    ,1.0431   (Solve) ,,0.294  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1030  	llReve: equiv    ,0.0300  
./nestedMerge/EQ_UnchLoopEQ_UnchLoop/libA CC2-Hybrid: equiv    ,40.2578  (Solve) ,,40.123 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1044  	llReve: equiv    ,0.1300  
./nestedMerge/EQ_UnchLoopEQ_divide/libA CC2-Hybrid: equiv    ,0.1665   (Solve) ,,0.045  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0867  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_getSign2/libA CC2-Hybrid: equiv    ,0.7793   (Solve) ,,0.225  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0869  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_is_prime1/libA CC2-Hybrid: equiv    ,0.9848   (Solve) ,,0.397  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0929  	llReve: unknown  ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_is_prime2/libA CC2-Hybrid: equiv    ,2.0177   (Solve) ,,1.325  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0949  	llReve: unknown  ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_is_prime3/libA CC2-Hybrid: equiv    ,1.2789   (Solve) ,,0.443  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1013  	llReve: unknown  ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_ltfive/libA CC2-Hybrid: equiv    ,1.0912   (Solve) ,,0.462  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0864  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_ltfiveBound/libA CC2-Hybrid: equiv    ,0.4332   (Solve) ,,0.218  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0898  	llReve: equiv    ,0.0300  
