./nestedMerge/EQ_UnchLoopEQ_pos2/libA: equiv,0.2424   ; unknown,0.0000   ; equiv,0.0969   ; not equiv,0.0300  
./nestedMerge/EQ_UnchLoopEQ_pos3/libA: equiv,0.7708   ; unknown,0.0000   ; equiv,0.0852   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopEXTRA_ultra_prime_sum/libA: equiv,78.5673  ; unknown,0.0000   ; equiv,0.1075   ; timeout,300.0000
./nestedMerge/EQ_UnchLoopNEQ_LoopMult20/libA: equiv,1.0412   ; unknown,0.0000   ; equiv,0.1009   ; equiv,0.0300  
./nestedMerge/EQ_UnchLoopNEQ_LoopUnreach20/libA: equiv,0.9031   ; unknown,0.0000   ; equiv,0.1033   ; equiv,0.0300  
./nestedMerge/EQ_UnchLoopNEQ_getSign/libA: equiv,0.9389   ; unknown,0.0000   ; equiv,0.1030   ; equiv,0.0300  
./nestedMerge/EQ_divideEQ_UnchLoop/libA: equiv,40.3020  ; unknown,0.0000   ; equiv,0.1318   ; equiv,0.1400  
./nestedMerge/EQ_divideEQ_is_prime2/libA: not equiv,1.5774   ; unknown,0.0000   ; not equiv,0.7788   ; unknown,0.0200  
./nestedMerge/EQ_divideEQ_odd/libA: equiv,12.5610  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_divideEQ_pos/libA: equiv,22.4149  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_divideEQ_pos2/libA: equiv,0.3241   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./nestedMerge/EQ_divideEXTRA_ultra_prime_sum/libA: equiv,76.5784  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.2400  
./nestedMerge/EQ_getSign2EQ_UnchLoop/libA: equiv,40.3031  ; unknown,0.0000   ; equiv,0.1257   ; equiv,0.1400  
./nestedMerge/EQ_getSign2EQ_is_prime2/libA: not equiv,1.4855   ; unknown,0.0000   ; not equiv,0.7025   ; unknown,0.0200  
./nestedMerge/EQ_getSign2EQ_odd/libA: equiv,11.1230  ; unknown,0.0000   ; equiv,14.8703  ; unknown,0.0100  
./nestedMerge/EQ_getSign2EQ_pos/libA: equiv,21.9741  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_getSign2EQ_pos2/libA: equiv,0.3233   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0300  
./nestedMerge/EQ_getSign2EXTRA_ultra_prime_sum/libA: equiv,82.5904  ; unknown,0.0000   ; timeout,300.0000 ; unknown,1.6100  
./nestedMerge/EQ_is_prime1EQ_UnchLoop/libA: equiv,40.3122  ; unknown,0.0000   ; equiv,0.1038   ; equiv,0.1300  
./nestedMerge/EQ_is_prime1EQ_is_prime2/libA: not equiv,1.5146   ; unknown,0.0000   ; not equiv,0.7494   ; unknown,0.0200  
./nestedMerge/EQ_is_prime1EQ_odd/libA: equiv,12.4532  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_is_prime1EQ_pos/libA: equiv,11.2939  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_is_prime1EQ_pos2/libA: equiv,0.2842   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0300  
./nestedMerge/EQ_is_prime1EXTRA_ultra_prime_sum/libA: equiv,76.2311  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.1700  
./nestedMerge/EQ_is_prime2EQ_Add/libA: equiv,0.2542   ; unknown,0.0000   ; equiv,0.1482   ; equiv,0.0300  
./nestedMerge/EQ_is_prime2EQ_Const/libA: equiv,0.2574   ; unknown,0.0000   ; equiv,0.1213   ; equiv,0.0300  
./nestedMerge/EQ_is_prime2EQ_LoopMult20/libA: equiv,0.7680   ; unknown,0.0000   ; equiv,0.4029   ; equiv,10.2500 
./nestedMerge/EQ_is_prime2EQ_LoopUnreach20/libA: equiv,0.5508   ; unknown,0.0000   ; equiv,0.1629   ; equiv,0.0400  
./nestedMerge/EQ_is_prime2EQ_UnchLoop/libA: equiv,0.2973   ; unknown,0.0000   ; equiv,0.1285   ; equiv,0.2500  
./nestedMerge/EQ_is_prime2EQ_divide/libA: equiv,0.3605   ; unknown,0.0000   ; equiv,0.1346   ; equiv,0.0300  
./nestedMerge/EQ_is_prime2EQ_getSign2/libA: equiv,0.4998   ; unknown,0.0000   ; equiv,0.1690   ; equiv,0.0300  
./nestedMerge/EQ_is_prime2EQ_is_prime1/libA: equiv,0.4915   ; unknown,0.0000   ; equiv,0.1370   ; unknown,0.0200  
./nestedMerge/EQ_is_prime2EQ_is_prime2/libA: not equiv,2.1346   ; unknown,0.0000   ; not equiv,0.7384   ; unknown,0.0300  
./nestedMerge/EQ_is_prime2EQ_is_prime3/libA: equiv,2.0230   ; unknown,0.0000   ; equiv,0.7393   ; unknown,0.0200  
./nestedMerge/EQ_is_prime2EQ_ltfive/libA: not equiv,1.0292   ; unknown,0.0000   ; not equiv,0.1839   ; equiv,0.0400  
./nestedMerge/EQ_is_prime2EQ_ltfiveBound/libA: equiv,0.7864   ; unknown,0.0000   ; equiv,0.1926   ; equiv,0.0600  
./nestedMerge/EQ_is_prime2EQ_multiple/libA: not equiv,0.9778   ; unknown,0.0000   ; not equiv,0.2695   ; equiv,0.0300  
./nestedMerge/EQ_is_prime2EQ_multipleBound/libA: equiv,0.6284   ; unknown,0.0000   ; equiv,0.2331   ; equiv,0.0400  
./nestedMerge/EQ_is_prime2EQ_odd/libA: equiv,21.9380  ; unknown,0.0000   ; equiv,14.2544  ; unknown,0.0200  
./nestedMerge/EQ_is_prime2EQ_one/libA: equiv,0.6062   ; unknown,0.0000   ; equiv,0.1614   ; equiv,0.0400  
./nestedMerge/EQ_is_prime2EQ_oneBound/libA: equiv,0.6807   ; unknown,0.0000   ; equiv,0.1791   ; equiv,0.0500  
./nestedMerge/EQ_is_prime2EQ_oneN2/libA: equiv,0.6047   ; unknown,0.0000   ; equiv,0.1551   ; equiv,0.0300  
