./mergedHard/EQ_LoopUnreach20EQ_is_prime2/libB: equiv,1.1425  , unknown,0.0000  , unknown,0.0000  , equiv,0.8764  
./mergedHard/EQ_LoopUnreach20EQ_odd/libA: equiv,0.2686  , equiv,0.0900  , unknown,0.0000  , equiv,0.1417  
./mergedHard/EQ_LoopUnreach20EQ_odd/libB: not equiv,4.2498  , not equiv,0.3110  , unknown,0.0000  , not equiv,3.7333  
./mergedHard/EQ_LoopUnreach20EQ_pos/libA: equiv,0.3327  , not equiv,0.0750  , unknown,0.0000  , equiv,0.1728  
./mergedHard/EQ_LoopUnreach20EQ_pos/libB: not equiv,0.7175  , not equiv,0.0690  , unknown,0.0000  , not equiv,0.3388  
./mergedHard/EQ_LoopUnreach20EQ_pos2/libA: equiv,0.3053  , not equiv,0.0750  , unknown,0.0000  , equiv,0.1714  
./mergedHard/EQ_LoopUnreach20EQ_pos2/libB: equiv,17.7086 , not equiv,0.0630  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_LoopUnreach20EXTRA_ultra_prime_sum/libA: equiv,2.7002  , not equiv,0.0850  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_LoopUnreach20EXTRA_ultra_prime_sum/libB: not equiv,17.1140 , not equiv,0.7500  , unknown,0.0000  , not equiv,3.6313  
./mergedHard/EQ_UnchLoopEQ_Add/libA: equiv,40.2749 , not equiv,0.0910  , unknown,0.0000  , equiv,0.0936  
./mergedHard/EQ_UnchLoopEQ_Add/libB: equiv,0.1251  , equiv,0.0080  , unknown,0.0000  , equiv,0.0747  
./mergedHard/EQ_UnchLoopEQ_Const/libA: equiv,40.2708 , not equiv,0.0960  , unknown,0.0000  , equiv,0.0981  
./mergedHard/EQ_UnchLoopEQ_Const/libB: equiv,0.1367  , equiv,0.0240  , unknown,0.0000  , equiv,0.0794  
./mergedHard/EQ_UnchLoopEQ_LoopMult20/libA: equiv,0.4747  , not equiv,0.0960  , unknown,0.0000  , equiv,0.3987  
./mergedHard/EQ_UnchLoopEQ_LoopMult20/libB: equiv,0.5738  , not equiv,0.0710  , unknown,0.0000  , equiv,0.4825  
./mergedHard/EQ_UnchLoopEQ_LoopUnreach20/libA: equiv,0.4737  , not equiv,0.0950  , unknown,0.0000  , equiv,0.3929  
./mergedHard/EQ_UnchLoopEQ_LoopUnreach20/libB: equiv,0.2190  , not equiv,0.0390  , unknown,0.0000  , equiv,0.1319  
./mergedHard/EQ_UnchLoopEQ_UnchLoop/libA: equiv,40.3066 , not equiv,0.1120  , unknown,0.0000  , equiv,0.1167  
./mergedHard/EQ_UnchLoopEQ_UnchLoop/libB: equiv,40.5585 , not equiv,0.1370  , unknown,0.0000  , equiv,0.2256  
./mergedHard/EQ_UnchLoopEQ_divide/libA: equiv,43.1122 , not equiv,0.2500  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_UnchLoopEQ_divide/libB: equiv,0.2001  , timeout,240.0000, unknown,0.0000  , equiv,0.1219  
./mergedHard/EQ_UnchLoopEQ_getSign2/libA: timeout,240.0000, not equiv,0.0930  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_UnchLoopEQ_getSign2/libB: equiv,0.2099  , equiv,0.0220  , unknown,0.0000  , equiv,0.1250  
./mergedHard/EQ_UnchLoopEQ_is_prime1/libA: equiv,40.2271 , not equiv,0.0780  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_UnchLoopEQ_is_prime1/libB: equiv,0.7178  , unknown,0.0000  , unknown,0.0000  , equiv,0.0803  
./mergedHard/EQ_UnchLoopEQ_is_prime2/libA: timeout,240.0000, not equiv,0.0810  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_UnchLoopEQ_is_prime2/libB: equiv,0.7559  , unknown,0.0000  , unknown,0.0000  , equiv,0.5778  
./mergedHard/EQ_UnchLoopEQ_is_prime3/libA: timeout,240.0000, unknown,0.0000  , unknown,0.0000  , equiv,0.1383  
./mergedHard/EQ_UnchLoopEQ_is_prime3/libB: equiv,1.4669  , unknown,0.0000  , unknown,0.0000  , equiv,0.0745  
./mergedHard/EQ_UnchLoopEQ_ltfive/libA: timeout,240.0000, not equiv,0.0930  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_UnchLoopEQ_ltfive/libB: not equiv,0.5629  , equiv,0.0700  , unknown,0.0000  , not equiv,0.1724  
./mergedHard/EQ_UnchLoopEQ_ltfiveBound/libA: timeout,240.0000, not equiv,0.1120  , unknown,0.0000  , equiv,24.3429 
./mergedHard/EQ_UnchLoopEQ_ltfiveBound/libB: equiv,0.3300  , equiv,0.1010  , unknown,0.0000  , equiv,0.1674  
./mergedHard/EQ_UnchLoopEQ_multiple/libA: timeout,240.0000, not equiv,0.0850  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_UnchLoopEQ_multiple/libB: not equiv,0.5839  , not equiv,0.0280  , unknown,0.0000  , not equiv,0.2115  
./mergedHard/EQ_UnchLoopEQ_multipleBound/libA: timeout,240.0000, not equiv,0.1030  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_UnchLoopEQ_multipleBound/libB: not equiv,0.6029  , not equiv,0.0430  , unknown,0.0000  , not equiv,0.2142  
./mergedHard/EQ_UnchLoopEQ_odd/libA: timeout,240.0000, not equiv,0.0790  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_UnchLoopEQ_odd/libB: equiv,11.5496 , equiv,0.1950  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_UnchLoopEQ_one/libA: timeout,240.0000, not equiv,0.0810  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_UnchLoopEQ_one/libB: not equiv,0.4568  , equiv,0.0230  , unknown,0.0000  , not equiv,0.1505  
./mergedHard/EQ_UnchLoopEQ_oneBound/libA: equiv,3.6869  , not equiv,0.1010  , unknown,0.0000  , equiv,3.5451  
./mergedHard/EQ_UnchLoopEQ_oneBound/libB: not equiv,0.4547  , equiv,0.0400  , unknown,0.0000  , not equiv,0.1407  
./mergedHard/EQ_UnchLoopEQ_oneN2/libA: timeout,240.0000, not equiv,0.0820  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_UnchLoopEQ_oneN2/libB: not equiv,0.4578  , equiv,0.0250  , unknown,0.0000  , not equiv,0.1510  
./mergedHard/EQ_UnchLoopEQ_pos/libA: equiv,0.2167  , not equiv,0.0820  , unknown,0.0000  , equiv,0.1091  
./mergedHard/EQ_UnchLoopEQ_pos/libB: not equiv,0.4792  , not equiv,0.0260  , unknown,0.0000  , not equiv,0.1813  
