./mergedHard/EQ_LoopUnreach20EXTRA_prime_sum/libB: not equiv,77.4303 , not equiv,57.2558 , not equiv,77.6869 , not equiv,2.6289  
./mergedHard/EQ_UnchLoopEQ_Add/libA: equiv,30.3607 , equiv,0.1998  , equiv,30.6458 , equiv,0.0966  
./mergedHard/EQ_UnchLoopEQ_Add/libB: equiv,0.1291  , equiv,0.1723  , equiv,0.3340  , equiv,0.0822  
./mergedHard/EQ_UnchLoopEQ_Const/libA: equiv,30.3624 , equiv,0.2269  , equiv,30.8341 , equiv,0.1485  
./mergedHard/EQ_UnchLoopEQ_Const/libB: equiv,0.2267  , equiv,0.2873  , equiv,0.4344  , equiv,0.1292  
./mergedHard/EQ_UnchLoopEQ_LoopMult20/libA: equiv,0.7542  , equiv,13.4664 , equiv,1.0186  , equiv,0.4638  
./mergedHard/EQ_UnchLoopEQ_LoopMult20/libB: timeout,300.0000, timeout,300.0000, timeout,300.0000, equiv,0.3165  
./mergedHard/EQ_UnchLoopEQ_LoopUnreach20/libA: equiv,0.4220  , equiv,5.9422  , equiv,0.6470  , equiv,0.2484  
./mergedHard/EQ_UnchLoopEQ_LoopUnreach20/libB: equiv,0.2234  , equiv,0.2450  , equiv,0.3694  , equiv,0.1328  
./mergedHard/EQ_UnchLoopEQ_UnchLoop/libA: equiv,30.3364 , equiv,0.1937  , equiv,30.7452 , equiv,0.0993  
./mergedHard/EQ_UnchLoopEQ_UnchLoop/libB: equiv,30.3668 , equiv,0.2356  , equiv,30.8340 , equiv,0.1581  
./mergedHard/EQ_UnchLoopEQ_divide/libA: equiv,32.5573 , equiv,2.0346  , equiv,32.7236 , timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_divide/libB: equiv,0.2277  , equiv,0.2381  , equiv,0.3258  , equiv,0.1070  
./mergedHard/EQ_UnchLoopEQ_getSign2/libA: timeout,300.0000, timeout,300.0000, timeout,300.0000, timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_getSign2/libB: equiv,0.2179  , equiv,0.2262  , equiv,0.3576  , equiv,0.1245  
./mergedHard/EQ_UnchLoopEQ_is_prime1/libA: equiv,30.3433 , equiv,0.1936  , equiv,30.7178 , timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_is_prime1/libB: equiv,0.7929  , equiv,0.2268  , equiv,0.9517  , equiv,0.0982  
./mergedHard/EQ_UnchLoopEQ_is_prime2/libA: timeout,300.0000, timeout,300.0000, timeout,300.0000, timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_is_prime2/libB: equiv,0.8791  , equiv,0.2966  , equiv,1.0870  , timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_ltfive/libA: timeout,300.0000, timeout,300.0000, timeout,300.0000, timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_ltfive/libB: not equiv,0.5517  , equiv,0.2958  , not equiv,0.9252  , not equiv,0.1561  
./mergedHard/EQ_UnchLoopEQ_ltfiveBound/libA: timeout,300.0000, timeout,300.0000, timeout,300.0000, equiv,19.6014 
./mergedHard/EQ_UnchLoopEQ_ltfiveBound/libB: equiv,0.3356  , equiv,0.3272  , equiv,0.4487  , equiv,0.1517  
./mergedHard/EQ_UnchLoopEQ_multiple/libA: timeout,300.0000, timeout,300.0000, timeout,300.0000, timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_multiple/libB: not equiv,0.6356  , not equiv,0.5877  , not equiv,1.0035  , not equiv,0.2445  
./mergedHard/EQ_UnchLoopEQ_multipleBound/libA: timeout,300.0000, timeout,300.0000, timeout,300.0000, timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_multipleBound/libB: not equiv,0.6590  , not equiv,0.8899  , not equiv,0.9631  , not equiv,0.2041  
./mergedHard/EQ_UnchLoopEQ_odd/libA: timeout,300.0000, timeout,300.0000, timeout,300.0000, timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_odd/libB: equiv,1.8190  , equiv,0.2668  , equiv,2.2183  , timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_one/libA: timeout,300.0000, timeout,300.0000, timeout,300.0000, timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_one/libB: not equiv,0.5161  , not equiv,0.6262  , not equiv,0.8109  , not equiv,0.1446  
./mergedHard/EQ_UnchLoopEQ_oneBound/libA: timeout,300.0000, timeout,300.0000, timeout,300.0000, equiv,2.6776  
./mergedHard/EQ_UnchLoopEQ_oneBound/libB: not equiv,0.5156  , not equiv,0.6276  , not equiv,0.7915  , not equiv,0.1400  
./mergedHard/EQ_UnchLoopEQ_oneN2/libA: timeout,300.0000, timeout,300.0000, timeout,300.0000, timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_oneN2/libB: not equiv,0.5101  , not equiv,0.6233  , not equiv,0.8629  , not equiv,0.1443  
./mergedHard/EQ_UnchLoopEQ_pos/libA: equiv,0.2395  , equiv,0.2897  , equiv,0.4417  , equiv,0.1120  
./mergedHard/EQ_UnchLoopEQ_pos/libB: not equiv,0.5256  , not equiv,0.6480  , not equiv,0.8841  , not equiv,0.1712  
./mergedHard/EQ_UnchLoopEQ_pos2/libA: equiv,0.2466  , equiv,0.2860  , equiv,0.4014  , equiv,0.1139  
./mergedHard/EQ_UnchLoopEQ_pos2/libB: equiv,32.9999 , equiv,0.2717  , equiv,33.4216 , timeout,300.0000
./mergedHard/EQ_UnchLoopEXTRA_prime_sum/libA: equiv,60.7190 , equiv,0.4248  , equiv,30.9775 , timeout,300.0000
./mergedHard/EQ_UnchLoopEXTRA_prime_sum/libB: not equiv,40.8531 , not equiv,3.2629  , not equiv,4.1235  , not equiv,0.1349  
./mergedHard/EQ_UnchLoopNEQ_LoopMult20/libA: equiv,0.4191  , equiv,5.8889  , equiv,0.5937  , equiv,0.2478  
./mergedHard/EQ_UnchLoopNEQ_LoopMult20/libB: not equiv,0.5866  , timeout,300.0000, not equiv,0.9124  , not equiv,0.1333  
./mergedHard/EQ_UnchLoopNEQ_LoopUnreach20/libA: equiv,0.4211  , equiv,5.8269  , equiv,0.6402  , equiv,0.2478  
./mergedHard/EQ_UnchLoopNEQ_LoopUnreach20/libB: not equiv,0.4503  , not equiv,0.6106  , not equiv,0.8446  , not equiv,0.1286  
./mergedHard/EQ_UnchLoopNEQ_getSign/libA: equiv,30.3483 , equiv,0.1936  , equiv,30.7218 , timeout,300.0000
./mergedHard/EQ_UnchLoopNEQ_getSign/libB: not equiv,0.4226  , not equiv,0.5434  , not equiv,0.7088  , not equiv,0.1236  
./mergedHard/EQ_divideEQ_UnchLoop/libA: equiv,0.1944  , equiv,0.2392  , equiv,0.3880  , equiv,0.1105  
./mergedHard/EQ_divideEQ_UnchLoop/libB: equiv,31.1776 , equiv,1.2534  , equiv,32.1840 , timeout,300.0000
./mergedHard/EQ_divideEQ_is_prime2/libA: equiv,0.3014  , equiv,0.3073  , equiv,0.4361  , equiv,0.1184  
./mergedHard/EQ_divideEQ_is_prime2/libB: equiv,1.1171  , equiv,0.3410  , equiv,1.3943  , timeout,300.0000
./mergedHard/EQ_divideEQ_odd/libA: equiv,0.2877  , equiv,1.8800  , equiv,0.4198  , equiv,0.1420  
./mergedHard/EQ_divideEQ_odd/libB: not equiv,0.7435  , not equiv,0.8380  , not equiv,1.1059  , not equiv,1.3495  
./mergedHard/EQ_divideEQ_pos/libA: equiv,0.3022  , equiv,1.9499  , equiv,0.4504  , equiv,0.1283  
./mergedHard/EQ_divideEQ_pos/libB: not equiv,0.6280  , not equiv,0.7320  , not equiv,0.9686  , not equiv,0.2783  
./mergedHard/EQ_divideEQ_pos2/libA: equiv,0.2781  , equiv,1.9320  , equiv,0.4507  , equiv,0.1275  
./mergedHard/EQ_divideEQ_pos2/libB: equiv,37.8348 , equiv,0.4144  , equiv,38.2016 , timeout,300.0000
./mergedHard/EQ_divideEXTRA_prime_sum/libA: equiv,0.4108  , equiv,0.4645  , equiv,0.4990  , equiv,0.1253  
./mergedHard/EQ_divideEXTRA_prime_sum/libB: not equiv,44.7946 , not equiv,9.1904  , not equiv,46.3436 , timeout,300.0000
./mergedHard/EQ_getSign2EQ_UnchLoop/libA: equiv,0.2213  , equiv,0.2432  , equiv,0.3576  , equiv,0.1288  
./mergedHard/EQ_getSign2EQ_UnchLoop/libB: timeout,300.0000, timeout,300.0000, timeout,300.0000, timeout,300.0000
./mergedHard/EQ_getSign2EQ_is_prime2/libA: equiv,0.3081  , equiv,0.2827  , equiv,0.4257  , equiv,0.1574  
./mergedHard/EQ_getSign2EQ_is_prime2/libB: equiv,1.0058  , equiv,0.3200  , equiv,1.2352  , timeout,300.0000
./mergedHard/EQ_getSign2EQ_odd/libA: not equiv,0.5594  , not equiv,0.6269  , not equiv,0.8613  , not equiv,0.1594  
./mergedHard/EQ_getSign2EQ_odd/libB: not equiv,1.6659  , not equiv,0.8405  , not equiv,2.0380  , not equiv,2.1503  
./mergedHard/EQ_getSign2EQ_pos/libA: not equiv,0.5778  , not equiv,0.6679  , not equiv,0.8826  , not equiv,0.1675  
