./nestedMerge/EQ_UnchLoopEQ_Add/libA: equiv,0.3000   ; unknown,0.0000   ; equiv,0.2300   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopEQ_Const/libA: equiv,0.2800   ; unknown,0.0000   ; equiv,0.2300   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopEQ_LoopMult20/libA: equiv,1.1700   ; unknown,0.0000   ; equiv,0.2300   ; equiv,0.0300  
./nestedMerge/EQ_UnchLoopEQ_LoopUnreach20/libA: equiv,1.1500   ; unknown,0.0000   ; equiv,0.2400   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopEQ_UnchLoop/libA: equiv,40.4300  ; unknown,0.0000   ; equiv,0.2300   ; equiv,0.1400  
./nestedMerge/EQ_UnchLoopEQ_divide/libA: equiv,0.3000   ; unknown,0.0000   ; equiv,0.2100   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopEQ_getSign2/libA: equiv,0.9100   ; unknown,0.0000   ; equiv,0.2100   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopEQ_is_prime1/libA: equiv,1.1200   ; unknown,0.0000   ; equiv,0.2200   ; unknown,0.0100  
./nestedMerge/EQ_UnchLoopEQ_is_prime2/libA: equiv,2.1800   ; unknown,0.0000   ; equiv,0.2200   ; unknown,0.0200  
./nestedMerge/EQ_UnchLoopEQ_is_prime3/libA: equiv,1.4000   ; unknown,0.0000   ; equiv,0.2300   ; unknown,0.0200  
./nestedMerge/EQ_UnchLoopEQ_ltfive/libA: equiv,1.2200   ; unknown,0.0000   ; equiv,0.2100   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopEQ_ltfiveBound/libA: equiv,0.5700   ; unknown,0.0000   ; equiv,0.2100   ; equiv,0.0300  
./nestedMerge/EQ_UnchLoopEQ_multiple/libA: equiv,0.9200   ; unknown,0.0000   ; equiv,0.2100   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopEQ_multipleBound/libA: equiv,0.9400   ; unknown,0.0000   ; equiv,0.2100   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopEQ_odd/libA: equiv,0.9500   ; unknown,0.0000   ; equiv,0.2100   ; unknown,0.0100  
./nestedMerge/EQ_UnchLoopEQ_one/libA: not equiv,0.7400   ; unknown,0.0000   ; not equiv,0.2100   ; not equiv,0.0200  
./nestedMerge/EQ_UnchLoopEQ_oneBound/libA: equiv,0.5500   ; unknown,0.0000   ; equiv,0.2100   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopEQ_oneN2/libA: equiv,1.1900   ; unknown,0.0000   ; equiv,0.2200   ; equiv,0.0300  
./nestedMerge/EQ_UnchLoopEQ_pos/libA: equiv,11.2900  ; unknown,0.0000   ; equiv,0.2400   ; unknown,0.0100  
./nestedMerge/EQ_UnchLoopEQ_pos2/libA: equiv,0.4100   ; unknown,0.0000   ; equiv,0.2300   ; not equiv,0.0300  
./nestedMerge/EQ_UnchLoopEQ_pos3/libA: equiv,0.9700   ; unknown,0.0000   ; equiv,0.2300   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopEXTRA_ultra_prime_sum/libA: equiv,78.2500  ; unknown,0.0000   ; equiv,0.2400   ; timeout,300.0000
./nestedMerge/EQ_UnchLoopNEQ_LoopMult20/libA: equiv,1.1800   ; unknown,0.0000   ; equiv,0.2300   ; equiv,0.0300  
./nestedMerge/EQ_UnchLoopNEQ_LoopUnreach20/libA: equiv,1.0700   ; unknown,0.0000   ; equiv,0.2300   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopNEQ_getSign/libA: equiv,1.0700   ; unknown,0.0000   ; equiv,0.2400   ; equiv,0.0200  
./nestedMerge/EQ_divideEQ_LoopMult20/libA: equiv,1.9500   ; unknown,0.0000   ; equiv,0.5200   ; equiv,7.3700  
