./mergedHard/EQ_AddEQ_UnchLoop/libA: equiv,0.1212  , equiv,0.2346  , equiv,0.1124  
./mergedHard/EQ_AddEQ_UnchLoop/libB: equiv,0.1403  , equiv,0.2047  , equiv,0.1256  
./mergedHard/EQ_AddEQ_odd/libA: equiv,0.1997  , equiv,0.2482  , equiv,0.1465  
./mergedHard/EQ_AddEQ_odd/libB: equiv,1.5578  , equiv,1.8200  , timeout,180.0000
./mergedHard/EQ_AddEQ_pos/libA: equiv,0.2245  , equiv,0.2676  , equiv,0.1303  
./mergedHard/EQ_AddEQ_pos/libB: not equiv,0.5664  , not equiv,0.8214  , not equiv,0.1709  
./mergedHard/EQ_AddEQ_pos2/libA: equiv,0.2316  , equiv,0.2568  , equiv,0.1312  
./mergedHard/EQ_AddEQ_pos2/libB: equiv,0.5019  , equiv,0.7212  , timeout,180.0000
./mergedHard/EQ_AddEXTRA_prime_sum/libA: equiv,0.3335  , equiv,0.3357  , timeout,180.0000
./mergedHard/EQ_AddEXTRA_prime_sum/libB: not equiv,71.2462 , not equiv,34.0901 , not equiv,0.1241  
./mergedHard/EQ_ConstEQ_UnchLoop/libA: equiv,0.1117  , equiv,0.2188  , equiv,0.1004  
./mergedHard/EQ_ConstEQ_UnchLoop/libB: equiv,0.1265  , equiv,0.2306  , equiv,0.1025  
./mergedHard/EQ_ConstEQ_odd/libA: equiv,0.1719  , equiv,0.2896  , equiv,0.1148  
./mergedHard/EQ_ConstEQ_odd/libB: equiv,1.5590  , equiv,1.8721  , timeout,180.0000
./mergedHard/EQ_ConstEQ_pos/libA: equiv,0.2280  , equiv,0.2987  , equiv,0.1374  
./mergedHard/EQ_ConstEQ_pos/libB: not equiv,0.5548  , not equiv,0.8502  , not equiv,0.1797  
./mergedHard/EQ_ConstEQ_pos2/libA: equiv,0.2310  , equiv,0.2852  , equiv,0.1374  
./mergedHard/EQ_ConstEQ_pos2/libB: equiv,0.5118  , equiv,0.6246  , timeout,180.0000
./mergedHard/EQ_ConstEXTRA_prime_sum/libA: equiv,0.3311  , equiv,0.3329  , timeout,180.0000
