./mergedHard/EQ_UnchLoopEQ_Const/libA: equiv,0.3000   ; unknown,0.0000   ; equiv,0.1900   ; equiv,0.4200  
./mergedHard/EQ_UnchLoopEQ_LoopMult20/libA: equiv,0.3200   ; unknown,0.0000   ; equiv,0.4400   ; equiv,2.5300  
./mergedHard/EQ_UnchLoopEQ_LoopUnreach20/libA: equiv,0.3300   ; unknown,0.0000   ; equiv,0.4600   ; equiv,2.5400  
./mergedHard/EQ_UnchLoopEQ_UnchLoop/libA: equiv,0.3000   ; unknown,0.0000   ; equiv,0.2100   ; equiv,0.4200  
./mergedHard/EQ_UnchLoopEQ_divide/libA: equiv,0.3300   ; unknown,0.0000   ; timeout,300.0000 ; equiv,0.3700  
./mergedHard/EQ_UnchLoopEQ_getSign2/libA: equiv,0.3200   ; unknown,0.0000   ; timeout,300.0000 ; equiv,0.6200  
./mergedHard/EQ_UnchLoopEQ_is_prime1/libA: equiv,0.3000   ; unknown,0.0000   ; timeout,300.0000 ; equiv,0.1600  
./mergedHard/EQ_UnchLoopEQ_is_prime2/libA: equiv,0.3500   ; unknown,0.0000   ; timeout,300.0000 ; equiv,3.5000  
./mergedHard/EQ_UnchLoopEQ_is_prime3/libA: equiv,0.5600   ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0300  
./mergedHard/EQ_UnchLoopEQ_ltfive/libA: equiv,0.4100   ; unknown,0.0000   ; timeout,300.0000 ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_ltfiveBound/libA: equiv,0.4200   ; unknown,0.0000   ; equiv,23.9500  ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_multiple/libA: equiv,0.3300   ; unknown,0.0000   ; timeout,300.0000 ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_multipleBound/libA: equiv,0.3600   ; unknown,0.0000   ; timeout,300.0000 ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_odd/libA: equiv,0.3300   ; unknown,0.0000   ; timeout,300.0000 ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_one/libA: equiv,0.3600   ; unknown,0.0000   ; timeout,300.0000 ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_oneBound/libA: equiv,0.3800   ; unknown,0.0000   ; equiv,3.5500   ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_oneN2/libA: equiv,0.3600   ; unknown,0.0000   ; timeout,300.0000 ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_pos/libA: equiv,0.3700   ; unknown,0.0000   ; equiv,0.2500   ; equiv,0.2700  
./mergedHard/EQ_UnchLoopEQ_pos2/libA: equiv,0.3600   ; unknown,0.0000   ; equiv,0.2200   ; equiv,0.2800  
./mergedHard/EQ_UnchLoopEQ_pos3/libA: equiv,0.3200   ; unknown,0.0000   ; equiv,0.2300   ; equiv,0.3600  
./mergedHard/EQ_UnchLoopEXTRA_ultra_prime_sum/libA: equiv,40.7500  ; unknown,0.0000   ; timeout,300.0000 ; timeout,300.0000
./mergedHard/EQ_UnchLoopNEQ_LoopMult20/libA: equiv,0.3300   ; unknown,0.0000   ; equiv,0.4700   ; equiv,2.5400  
./mergedHard/EQ_UnchLoopNEQ_LoopUnreach20/libA: equiv,0.3300   ; unknown,0.0000   ; equiv,0.4600   ; equiv,2.5300  
./mergedHard/EQ_UnchLoopNEQ_getSign/libA: equiv,0.3100   ; unknown,0.0000   ; timeout,300.0000 ; equiv,0.2400  
./mergedHard/EQ_divideEQ_LoopMult20/libA: equiv,0.3300   ; unknown,0.0000   ; equiv,0.2600   ; equiv,0.0400  
./mergedHard/EQ_divideEQ_UnchLoop/libA: equiv,0.3000   ; unknown,0.0000   ; equiv,0.2300   ; equiv,0.0200  
./mergedHard/EQ_divideEQ_odd/libA: equiv,0.3300   ; unknown,0.0000   ; equiv,0.2600   ; not equiv,0.0400  
./mergedHard/EQ_divideEQ_pos/libA: equiv,0.3600   ; unknown,0.0000   ; equiv,0.2500   ; not equiv,0.0400  
./mergedHard/EQ_divideEQ_pos2/libA: equiv,0.3600   ; unknown,0.0000   ; equiv,0.2500   ; not equiv,0.0500  
./mergedHard/EQ_divideEXTRA_ultra_prime_sum/libA: equiv,0.5900   ; unknown,0.0000   ; equiv,0.2300   ; not equiv,0.0300  
./mergedHard/EQ_getSign2EQ_LoopMult20/libA: equiv,0.4900   ; unknown,0.0000   ; equiv,0.2900   ; equiv,0.0300  
./mergedHard/EQ_getSign2EQ_UnchLoop/libA: equiv,0.4200   ; unknown,0.0000   ; equiv,0.2400   ; equiv,0.0400  
