./mergedHard/EQ_AddEQ_UnchLoop/libA: equiv,0.1894  , equiv,0.3514  , equiv,0.0907  
./mergedHard/EQ_AddEQ_UnchLoop/libB: equiv,0.1710  , equiv,0.3170  , equiv,0.0928  
./mergedHard/EQ_AddEQ_odd/libA: equiv,0.2203  , equiv,0.3282  , equiv,0.1097  
./mergedHard/EQ_AddEQ_UnchLoop/libA: equiv,0.1892  , equiv,0.3538  , equiv,0.0929  
./mergedHard/EQ_AddEQ_UnchLoop/libB: equiv,0.1742  , equiv,0.3385  , equiv,0.0906  
./mergedHard/EQ_AddEQ_odd/libA: equiv,0.2150  , equiv,0.3901  , equiv,0.1000  
./mergedHard/EQ_AddEQ_odd/libB: equiv,1.9667  , equiv,2.4107  , timeout,240.0000
./mergedHard/EQ_AddEQ_pos/libA: equiv,0.2847  , equiv,0.4222  , equiv,0.1043  
./mergedHard/EQ_AddEQ_pos/libB: not equiv,0.5336  , not equiv,0.9302  , not equiv,0.1718  
./mergedHard/EQ_AddEQ_pos2/libA: equiv,0.2615  , equiv,0.4133  , equiv,0.1125  
./mergedHard/EQ_AddEQ_pos2/libB: unknown,0.0000  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_AddEXTRA_prime_sum/libA: equiv,0.4561  , equiv,0.4524  , timeout,240.0000
./mergedHard/EQ_AddEXTRA_prime_sum/libB: not equiv,26.0634 , not equiv,4.4750  , not equiv,0.1321  
./mergedHard/EQ_ConstEQ_UnchLoop/libA: equiv,0.1667  , equiv,0.2696  , equiv,0.0922  
./mergedHard/EQ_ConstEQ_UnchLoop/libB: equiv,0.1689  , equiv,0.3192  , equiv,0.0976  
./mergedHard/EQ_ConstEQ_odd/libA: equiv,0.2282  , equiv,0.3893  , equiv,0.1114  
./mergedHard/EQ_ConstEQ_odd/libB: equiv,1.8280  , equiv,2.1961  , timeout,240.0000
./mergedHard/EQ_ConstEQ_pos/libA: equiv,0.2844  , equiv,0.4060  , equiv,0.1061  
./mergedHard/EQ_ConstEQ_pos/libB: not equiv,0.5353  , not equiv,0.8360  , not equiv,0.1657  
./mergedHard/EQ_ConstEQ_pos2/libA: equiv,0.2611  , equiv,0.3999  , equiv,0.1073  
./mergedHard/EQ_ConstEQ_pos2/libB: unknown,0.0000  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_ConstEXTRA_prime_sum/libA: equiv,0.4615  , equiv,0.4983  , timeout,240.0000
./mergedHard/EQ_ConstEXTRA_prime_sum/libB: not equiv,25.9370 , not equiv,4.3462  , not equiv,0.1313  
./mergedHard/EQ_LoopMult10EQ_UnchLoop/libA: equiv,0.3281  , equiv,0.4380  , equiv,0.2268  
./mergedHard/EQ_LoopMult10EQ_UnchLoop/libB: equiv,0.2812  , equiv,0.4293  , equiv,0.1830  
./mergedHard/EQ_LoopMult10EQ_odd/libA: timeout,240.0000, timeout,240.0000, timeout,240.0000
./mergedHard/EQ_LoopMult10EQ_odd/libB: equiv,3.0052  , equiv,3.3215  , timeout,240.0000
./mergedHard/EQ_LoopMult10EQ_pos/libA: equiv,0.5888  , equiv,0.7741  , equiv,0.2272  
./mergedHard/EQ_LoopMult10EQ_pos/libB: not equiv,0.5981  , not equiv,0.9086  , not equiv,0.2887  
./mergedHard/EQ_LoopMult10EQ_pos2/libA: equiv,0.5710  , equiv,0.8034  , equiv,0.2283  
./mergedHard/EQ_LoopMult10EQ_pos2/libB: unknown,0.0000  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_LoopMult10EXTRA_prime_sum/libA: timeout,240.0000, timeout,240.0000, timeout,240.0000
./mergedHard/EQ_LoopMult10EXTRA_prime_sum/libB: not equiv,5.0933  , not equiv,7.0468  , not equiv,0.8241  
./mergedHard/EQ_LoopMult15EQ_UnchLoop/libA: equiv,0.3761  , equiv,0.4838  , equiv,0.2444  
./mergedHard/EQ_LoopMult15EQ_UnchLoop/libB: equiv,0.3093  , equiv,0.4221  , equiv,0.2154  
./mergedHard/EQ_LoopMult15EQ_odd/libA: timeout,240.0000, timeout,240.0000, timeout,240.0000
./mergedHard/EQ_LoopMult15EQ_odd/libB: equiv,3.0715  , equiv,3.4600  , timeout,240.0000
./mergedHard/EQ_LoopMult15EQ_pos/libA: equiv,0.6166  , equiv,0.7821  , equiv,0.2492  
./mergedHard/EQ_LoopMult15EQ_pos/libB: not equiv,0.6024  , not equiv,0.9676  , not equiv,0.2779  
./mergedHard/EQ_LoopMult15EQ_pos2/libA: equiv,0.5947  , equiv,0.8076  , equiv,0.2497  
./mergedHard/EQ_LoopMult15EQ_pos2/libB: unknown,0.0000  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_LoopMult15EXTRA_prime_sum/libA: timeout,240.0000, timeout,240.0000, timeout,240.0000
./mergedHard/EQ_LoopMult15EXTRA_prime_sum/libB: not equiv,5.9412  , not equiv,7.7561  , not equiv,1.2111  
./mergedHard/EQ_LoopMult20EQ_UnchLoop/libA: equiv,0.3826  , equiv,0.5418  , equiv,0.2972  
./mergedHard/EQ_LoopMult20EQ_UnchLoop/libB: equiv,0.4108  , equiv,0.6135  , equiv,0.2478  
./mergedHard/EQ_LoopMult20EQ_odd/libA: timeout,240.0000, timeout,240.0000, timeout,240.0000
./mergedHard/EQ_LoopMult20EQ_odd/libB: not equiv,1.0896  , not equiv,1.4617  , not equiv,2.3527  
./mergedHard/EQ_LoopMult20EQ_pos/libA: equiv,0.6525  , equiv,0.8568  , equiv,0.2961  
./mergedHard/EQ_LoopMult20EQ_pos/libB: not equiv,0.5989  , not equiv,0.9571  , not equiv,0.2581  
./mergedHard/EQ_LoopMult20EQ_pos2/libA: equiv,0.6272  , equiv,0.8552  , equiv,0.2924  
./mergedHard/EQ_LoopMult20EQ_pos2/libB: unknown,0.0000  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_LoopMult20EXTRA_prime_sum/libA: timeout,240.0000, timeout,240.0000, timeout,240.0000
./mergedHard/EQ_LoopMult20EXTRA_prime_sum/libB: not equiv,51.1285 , not equiv,53.2630 , not equiv,2.6143  
./mergedHard/EQ_LoopMult2EQ_UnchLoop/libA: equiv,0.2082  , equiv,0.3264  , equiv,0.1014  
./mergedHard/EQ_LoopMult2EQ_UnchLoop/libB: equiv,0.1780  , equiv,0.3288  , equiv,0.0929  
./mergedHard/EQ_LoopMult2EQ_odd/libA: equiv,0.2837  , equiv,0.4185  , timeout,240.0000
./mergedHard/EQ_LoopMult2EQ_odd/libB: equiv,1.8456  , equiv,2.1905  , timeout,240.0000
./mergedHard/EQ_LoopMult2EQ_pos/libA: equiv,0.3044  , equiv,0.4556  , equiv,0.1195  
./mergedHard/EQ_LoopMult2EQ_pos/libB: not equiv,0.5474  , not equiv,0.9191  , not equiv,0.1743  
./mergedHard/EQ_LoopMult2EQ_pos2/libA: equiv,0.2929  , equiv,0.4217  , equiv,0.1237  
./mergedHard/EQ_LoopMult2EQ_pos2/libB: unknown,0.0000  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_LoopMult2EXTRA_prime_sum/libA: timeout,240.0000, timeout,240.0000, timeout,240.0000
./mergedHard/EQ_LoopMult2EXTRA_prime_sum/libB: equiv,25.9475 , equiv,5.6866  , timeout,240.0000
./mergedHard/EQ_LoopMult5EQ_UnchLoop/libA: equiv,0.3188  , equiv,0.4192  , equiv,0.1955  
./mergedHard/EQ_LoopMult5EQ_UnchLoop/libB: equiv,0.2499  , equiv,0.3977  , equiv,0.1554  
./mergedHard/EQ_LoopMult5EQ_odd/libA: timeout,240.0000, timeout,240.0000, timeout,240.0000
./mergedHard/EQ_LoopMult5EQ_odd/libB: equiv,3.0866  , equiv,3.4118  , timeout,240.0000
./mergedHard/EQ_LoopMult5EQ_pos/libA: equiv,0.3584  , equiv,0.4960  , equiv,0.1850  
