./mergedHard/EQ_UnchLoopEQ_LoopMult20/libA: equiv,0.4781   ; unknown,0.0000   ; equiv,0.3926  
./mergedHard/EQ_UnchLoopEQ_LoopMult20/libB: equiv,0.5633   ; unknown,0.0000   ; equiv,0.4810  
./mergedHard/EQ_UnchLoopEQ_LoopUnreach20/libA: equiv,0.4989   ; unknown,0.0000   ; equiv,0.3988  
./mergedHard/EQ_UnchLoopEQ_LoopUnreach20/libB: equiv,0.2238   ; unknown,0.0000   ; equiv,0.1398  
./mergedHard/EQ_UnchLoopEQ_UnchLoop/libA: equiv,40.2707  ; unknown,0.0000   ; equiv,0.1249  
./mergedHard/EQ_UnchLoopEQ_UnchLoop/libB: equiv,40.5581  ; unknown,0.0000   ; equiv,0.2759  
./mergedHard/EQ_UnchLoopEQ_divide/libA: equiv,42.3314  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_divide/libB: equiv,0.2085   ; unknown,0.0000   ; equiv,0.1008  
./mergedHard/EQ_UnchLoopEQ_getSign2/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_getSign2/libB: equiv,0.2136   ; unknown,0.0000   ; equiv,0.1272  
./mergedHard/EQ_UnchLoopEQ_is_prime1/libA: equiv,40.2321  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_is_prime1/libB: not equiv,2.2974   ; unknown,0.0000   ; not equiv,0.0966  
./mergedHard/EQ_UnchLoopEQ_is_prime2/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_is_prime2/libB: not equiv,0.9357   ; unknown,0.0000   ; not equiv,0.5803  
./mergedHard/EQ_UnchLoopEQ_is_prime3/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_is_prime3/libB: not equiv,2.3395   ; unknown,0.0000   ; not equiv,0.1856  
./mergedHard/EQ_UnchLoopEQ_ltfive/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_ltfive/libB: not equiv,0.6527   ; unknown,0.0000   ; not equiv,0.1763  
./mergedHard/EQ_UnchLoopEQ_ltfiveBound/libA: timeout,300.0000 ; unknown,0.0000   ; equiv,24.3596 
./mergedHard/EQ_UnchLoopEQ_ltfiveBound/libB: equiv,0.3351   ; unknown,0.0000   ; equiv,0.1731  
./mergedHard/EQ_UnchLoopEQ_multiple/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_multiple/libB: not equiv,0.5521   ; unknown,0.0000   ; not equiv,0.2133  
./mergedHard/EQ_UnchLoopEQ_multipleBound/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_multipleBound/libB: not equiv,0.6051   ; unknown,0.0000   ; not equiv,0.2164  
./mergedHard/EQ_UnchLoopEQ_odd/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_odd/libB: equiv,11.5492  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_one/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_one/libB: not equiv,0.4680   ; unknown,0.0000   ; not equiv,0.1537  
./mergedHard/EQ_UnchLoopEQ_oneBound/libA: equiv,3.6494   ; unknown,0.0000   ; equiv,3.5143  
./mergedHard/EQ_UnchLoopEQ_oneBound/libB: not equiv,0.4764   ; unknown,0.0000   ; not equiv,0.1446  
./mergedHard/EQ_UnchLoopEQ_oneN2/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_oneN2/libB: not equiv,0.4679   ; unknown,0.0000   ; not equiv,0.1539  
./mergedHard/EQ_UnchLoopEQ_pos/libA: equiv,0.2199   ; unknown,0.0000   ; equiv,0.1111  
./mergedHard/EQ_UnchLoopEQ_pos/libB: not equiv,0.4877   ; unknown,0.0000   ; not equiv,0.1840  
./mergedHard/EQ_UnchLoopEQ_pos2/libA: equiv,0.2197   ; unknown,0.0000   ; equiv,0.1124  
