./mergedHard/EQ_LoopUnreach20EXTRA_prime_sum/libA: equiv,2.1613   ; equiv,2.4142   ; timeout,200.0000
./mergedHard/EQ_LoopUnreach20EXTRA_prime_sum/libB: not equiv,67.6068  ; not equiv,78.0802  ; not equiv,2.5898  
./mergedHard/EQ_UnchLoopEQ_Add/libA: equiv,30.3472  ; equiv,30.7353  ; equiv,0.1016  
./mergedHard/EQ_UnchLoopEQ_Add/libB: equiv,0.1388   ; equiv,0.3386   ; equiv,0.0827  
./mergedHard/EQ_UnchLoopEQ_Const/libA: equiv,30.3285  ; equiv,30.8624  ; equiv,0.1182  
./mergedHard/EQ_UnchLoopEQ_Const/libB: equiv,0.1627   ; equiv,0.3669   ; equiv,0.1362  
./mergedHard/EQ_UnchLoopEQ_LoopMult20/libA: equiv,0.7517   ; equiv,1.0674   ; equiv,0.4714  
./mergedHard/EQ_UnchLoopEQ_LoopMult20/libB: equiv,0.7331   ; equiv,0.9342   ; equiv,0.5584  
./mergedHard/EQ_UnchLoopEQ_LoopUnreach20/libA: equiv,0.7887   ; equiv,1.0740   ; equiv,0.4671  
./mergedHard/EQ_UnchLoopEQ_LoopUnreach20/libB: equiv,0.3853   ; equiv,0.5979   ; equiv,0.1972  
./mergedHard/EQ_UnchLoopEQ_UnchLoop/libA: equiv,30.5266  ; equiv,30.9351  ; equiv,0.1646  
./mergedHard/EQ_UnchLoopEQ_UnchLoop/libB: equiv,30.5975  ; equiv,31.2896  ; equiv,0.3736  
./mergedHard/EQ_UnchLoopEQ_divide/libA: equiv,0.7310   ; equiv,0.8891   ; timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_divide/libB: equiv,0.2225   ; equiv,0.3397   ; equiv,0.1117  
./mergedHard/EQ_UnchLoopEQ_getSign2/libA: equiv,0.2189   ; equiv,0.3718   ; timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_getSign2/libB: equiv,0.2140   ; equiv,0.3216   ; equiv,0.1233  
./mergedHard/EQ_UnchLoopEQ_is_prime1/libA: equiv,30.3347  ; equiv,30.7140  ; timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_is_prime1/libB: equiv,0.7232   ; equiv,0.9411   ; equiv,0.1085  
./mergedHard/EQ_UnchLoopEQ_is_prime2/libA: equiv,0.3805   ; equiv,0.5095   ; timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_is_prime2/libB: equiv,0.7865   ; equiv,0.9651   ; timeout,200.0000
