./mergedHard/EQ_UnchLoopEQ_pos3/libA: equiv,0.2062   ; unknown,0.0000   ; equiv,0.1147   ; equiv,0.3400  
./mergedHard/EQ_UnchLoopEXTRA_ultra_prime_sum/libA: equiv,120.8430 ; unknown,0.0000   ; timeout,300.0000 ; timeout,300.0000
./mergedHard/EQ_UnchLoopNEQ_LoopMult20/libA: equiv,0.2085   ; unknown,0.0000   ; equiv,0.3589   ; equiv,2.5900  
./mergedHard/EQ_UnchLoopNEQ_LoopUnreach20/libA: equiv,0.2089   ; unknown,0.0000   ; equiv,0.3803   ; equiv,2.5900  
./mergedHard/EQ_UnchLoopNEQ_getSign/libA: equiv,40.2829  ; unknown,0.0000   ; timeout,300.0000 ; equiv,0.2100  
./mergedHard/EQ_divideEQ_UnchLoop/libA: equiv,0.1885   ; unknown,0.0000   ; equiv,0.1279   ; equiv,0.0200  
./mergedHard/EQ_divideEQ_is_prime2/libA: equiv,0.2385   ; unknown,0.0000   ; equiv,0.1197   ; equiv,0.0200  
./mergedHard/EQ_divideEQ_odd/libA: equiv,0.2089   ; unknown,0.0000   ; equiv,0.1510   ; not equiv,0.0400  
./mergedHard/EQ_divideEQ_pos/libA: equiv,0.2413   ; unknown,0.0000   ; equiv,0.1407   ; not equiv,0.0500  
./mergedHard/EQ_divideEQ_pos2/libA: equiv,0.2424   ; unknown,0.0000   ; equiv,0.1395   ; not equiv,0.0500  
./mergedHard/EQ_divideEXTRA_ultra_prime_sum/libA: equiv,0.4973   ; unknown,0.0000   ; equiv,0.1198   ; not equiv,0.0400  
./mergedHard/EQ_getSign2EQ_UnchLoop/libA: equiv,0.3082   ; unknown,0.0000   ; equiv,0.1350   ; equiv,0.0200  
./mergedHard/EQ_getSign2EQ_is_prime2/libA: equiv,0.3995   ; unknown,0.0000   ; equiv,0.1736   ; equiv,0.0300  
./mergedHard/EQ_getSign2EQ_odd/libA: not equiv,0.5786   ; unknown,0.0000   ; not equiv,0.1787   ; not equiv,0.0200  
./mergedHard/EQ_getSign2EQ_pos/libA: not equiv,0.6456   ; unknown,0.0000   ; not equiv,0.2078   ; not equiv,0.0300  
./mergedHard/EQ_getSign2EQ_pos2/libA: not equiv,0.6432   ; unknown,0.0000   ; not equiv,0.2069   ; not equiv,0.0300  
./mergedHard/EQ_getSign2EXTRA_ultra_prime_sum/libA: not equiv,2.4568   ; unknown,0.0000   ; not equiv,0.1620   ; not equiv,0.0300  
./mergedHard/EQ_is_prime1EQ_UnchLoop/libA: equiv,0.8837   ; unknown,0.0000   ; not equiv,0.1053   ; unknown,0.0200  
./mergedHard/EQ_is_prime1EQ_is_prime2/libA: not equiv,1.3928   ; unknown,0.0000   ; not equiv,0.6992   ; unknown,0.0200  
./mergedHard/EQ_is_prime1EQ_odd/libA: not equiv,1.1315   ; unknown,0.0000   ; not equiv,0.6262   ; unknown,0.0200  
./mergedHard/EQ_is_prime1EQ_pos/libA: equiv,1.6345   ; unknown,0.0000   ; equiv,1.3040   ; unknown,0.0200  
./mergedHard/EQ_is_prime1EQ_pos2/libA: equiv,1.6224   ; unknown,0.0000   ; equiv,1.3065   ; unknown,0.0200  
./mergedHard/EQ_is_prime1EXTRA_ultra_prime_sum/libA: equiv,18.1382  ; unknown,0.0000   ; not equiv,0.3805   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EQ_Add/libA: not equiv,1.0444   ; unknown,0.0000   ; not equiv,0.5637   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EQ_Const/libA: not equiv,1.0296   ; unknown,0.0000   ; not equiv,0.5634   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EQ_LoopMult20/libA: not equiv,1.6286   ; unknown,0.0000   ; not equiv,0.9464   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EQ_LoopUnreach20/libA: not equiv,1.6434   ; unknown,0.0000   ; not equiv,0.9417   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EQ_UnchLoop/libA: not equiv,1.0656   ; unknown,0.0000   ; not equiv,0.5722   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EQ_divide/libA: not equiv,1.7752   ; unknown,0.0000   ; not equiv,1.2705   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EQ_getSign2/libA: not equiv,1.7838   ; unknown,0.0000   ; not equiv,1.1644   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EQ_is_prime1/libA: not equiv,1.3671   ; unknown,0.0000   ; not equiv,0.6489   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EQ_is_prime2/libA: not equiv,2.0602   ; unknown,0.0000   ; not equiv,1.2851   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EQ_is_prime3/libA: not equiv,4.2162   ; unknown,0.0000   ; not equiv,1.3549   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EQ_ltfive/libA: not equiv,4.2432   ; unknown,0.0000   ; not equiv,3.6070   ; unknown,0.0300  
./mergedHard/EQ_is_prime2EQ_ltfiveBound/libA: not equiv,1.9203   ; unknown,0.0000   ; not equiv,1.1220   ; unknown,0.0300  
./mergedHard/EQ_is_prime2EQ_multiple/libA: not equiv,3.3188   ; unknown,0.0000   ; not equiv,0.6180   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EQ_multipleBound/libA: not equiv,1.5036   ; unknown,0.0000   ; not equiv,0.8540   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EQ_odd/libA: not equiv,1.7226   ; unknown,0.0000   ; not equiv,1.1286   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EQ_one/libA: not equiv,6.6286   ; unknown,0.0000   ; not equiv,6.2827   ; unknown,0.0300  
./mergedHard/EQ_is_prime2EQ_oneBound/libA: not equiv,2.6258   ; unknown,0.0000   ; not equiv,2.2245   ; unknown,0.0300  
./mergedHard/EQ_is_prime2EQ_oneN2/libA: not equiv,6.7063   ; unknown,0.0000   ; not equiv,6.2789   ; unknown,0.0300  
./mergedHard/EQ_is_prime2EQ_pos/libA: not equiv,9.1174   ; unknown,0.0000   ; not equiv,8.0266   ; unknown,0.0300  
./mergedHard/EQ_is_prime2EQ_pos2/libA: not equiv,9.1268   ; unknown,0.0000   ; not equiv,7.8978   ; unknown,0.0300  
./mergedHard/EQ_is_prime2EQ_pos3/libA: not equiv,2.1754   ; unknown,0.0000   ; not equiv,1.6959   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EXTRA_ultra_prime_sum/libA: not equiv,7.2458   ; unknown,0.0000   ; not equiv,0.8327   ; unknown,0.0200  
./mergedHard/EQ_is_prime2NEQ_LoopMult20/libA: not equiv,1.6242   ; unknown,0.0000   ; not equiv,0.9431   ; unknown,0.0200  
