./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_LoopUnreach20/libA: equiv,48.3759  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_LoopUnreach20/libB: equiv,1.2381   ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_UnchLoop/libA: not equiv,49.8440  ; unknown,0.0000   ; not equiv,0.1417  
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_UnchLoop/libB: equiv,80.5420  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_divide/libA: equiv,48.5778  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_divide/libB: equiv,0.6028   ; unknown,0.0000   ; equiv,0.1094  
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_getSign2/libA: equiv,48.4776  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_getSign2/libB: equiv,1.1214   ; unknown,0.0000   ; not equiv,0.1298  
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_is_prime1/libA: equiv,81.7746  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_is_prime1/libB: equiv,2.0219   ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_is_prime2/libA: equiv,48.4907  ; unknown,0.0000   ; not equiv,0.1911  
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_is_prime2/libB: equiv,1.1002   ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_is_prime3/libA: timeout,300.0000 ; unknown,0.0000   ; equiv,0.0970  
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_is_prime3/libB: equiv,2.3711   ; unknown,0.0000   ; equiv,0.0778  
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_ltfive/libA: equiv,48.6631  ; unknown,0.0000   ; not equiv,0.1825  
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_ltfive/libB: not equiv,2.7773   ; unknown,0.0000   ; not equiv,0.1323  
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_ltfiveBound/libA: equiv,48.7630  ; unknown,0.0000   ; not equiv,0.1853  
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_ltfiveBound/libB: not equiv,2.9210   ; unknown,0.0000   ; not equiv,0.1448  
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_multiple/libA: equiv,48.4810  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_multiple/libB: equiv,30.9840  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_multipleBound/libA: equiv,48.4568  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_multipleBound/libB: equiv,31.1364  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_odd/libA: equiv,48.3433  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_odd/libB: equiv,12.5027  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_one/libA: equiv,48.6055  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_one/libB: equiv,23.3976  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_oneBound/libA: equiv,48.6038  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_oneBound/libB: not equiv,2.1053   ; unknown,0.0000   ; not equiv,0.1423  
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_oneN2/libA: equiv,48.4683  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_oneN2/libB: not equiv,2.0350   ; unknown,0.0000   ; not equiv,0.1318  
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_pos/libA: equiv,48.6114  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_pos/libB: equiv,51.0111  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_pos2/libA: equiv,48.4312  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEQ_pos2/libB: equiv,11.6345  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEXTRA_ultra_prime_sum/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumEXTRA_ultra_prime_sum/libB: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumNEQ_LoopMult20/libA: equiv,48.5080  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumNEQ_LoopMult20/libB: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumNEQ_LoopUnreach20/libA: equiv,48.3373  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumNEQ_LoopUnreach20/libB: equiv,42.0954  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumNEQ_getSign/libA: equiv,81.6997  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EXTRA_ultra_prime_sumNEQ_getSign/libB: not equiv,1.7750   ; unknown,0.0000   ; not equiv,0.1290  
./mergedHard_CallMerge/NEQ_LoopMult20EQ_UnchLoop/libA: not equiv,0.6129   ; unknown,0.0000   ; not equiv,0.1356  
./mergedHard_CallMerge/NEQ_LoopMult20EQ_UnchLoop/libB: equiv,0.4116   ; unknown,0.0000   ; equiv,0.3379  
./mergedHard_CallMerge/NEQ_LoopMult20EQ_is_prime2/libA: not equiv,1.1398   ; unknown,0.0000   ; not equiv,0.1218  
./mergedHard_CallMerge/NEQ_LoopMult20EQ_is_prime2/libB: equiv,1.1117   ; unknown,0.0000   ; equiv,0.4018  
./mergedHard_CallMerge/NEQ_LoopMult20EQ_odd/libA: not equiv,4.1192   ; unknown,0.0000   ; not equiv,0.3532  
./mergedHard_CallMerge/NEQ_LoopMult20EQ_odd/libB: not equiv,2.4613   ; unknown,0.0000   ; not equiv,0.2332  
./mergedHard_CallMerge/NEQ_LoopMult20EQ_pos/libA: equiv,1.9317   ; unknown,0.0000   ; equiv,0.3546  
./mergedHard_CallMerge/NEQ_LoopMult20EQ_pos/libB: not equiv,0.6284   ; unknown,0.0000   ; not equiv,0.1517  
./mergedHard_CallMerge/NEQ_LoopMult20EQ_pos2/libA: equiv,2.0849   ; unknown,0.0000   ; equiv,0.3514  
./mergedHard_CallMerge/NEQ_LoopMult20EQ_pos2/libB: equiv,19.3893  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/NEQ_LoopMult20EXTRA_ultra_prime_sum/libA: timeout,300.0000 ; unknown,0.0000   ; equiv,2.5564  
./mergedHard_CallMerge/NEQ_LoopMult20EXTRA_ultra_prime_sum/libB: not equiv,17.1808  ; unknown,0.0000   ; not equiv,3.4691  
./mergedHard_CallMerge/NEQ_LoopUnreach20EQ_UnchLoop/libA: not equiv,0.4120   ; unknown,0.0000   ; not equiv,0.1306  
./mergedHard_CallMerge/NEQ_LoopUnreach20EQ_UnchLoop/libB: equiv,0.4111   ; unknown,0.0000   ; equiv,0.3355  
./mergedHard_CallMerge/NEQ_LoopUnreach20EQ_is_prime2/libA: not equiv,1.1403   ; unknown,0.0000   ; not equiv,0.1323  
./mergedHard_CallMerge/NEQ_LoopUnreach20EQ_is_prime2/libB: equiv,1.1028   ; unknown,0.0000   ; equiv,0.4141  
./mergedHard_CallMerge/NEQ_LoopUnreach20EQ_odd/libA: not equiv,0.4525   ; unknown,0.0000   ; not equiv,0.1324  
./mergedHard_CallMerge/NEQ_LoopUnreach20EQ_odd/libB: not equiv,2.4681   ; unknown,0.0000   ; not equiv,0.2336  
./mergedHard_CallMerge/NEQ_LoopUnreach20EQ_pos/libA: not equiv,0.5310   ; unknown,0.0000   ; not equiv,0.1328  
./mergedHard_CallMerge/NEQ_LoopUnreach20EQ_pos/libB: not equiv,0.6249   ; unknown,0.0000   ; not equiv,0.1508  
./mergedHard_CallMerge/NEQ_LoopUnreach20EQ_pos2/libA: not equiv,0.5261   ; unknown,0.0000   ; not equiv,0.1324  
./mergedHard_CallMerge/NEQ_LoopUnreach20EQ_pos2/libB: equiv,19.2890  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/NEQ_LoopUnreach20EXTRA_ultra_prime_sum/libA: not equiv,1.5945   ; unknown,0.0000   ; not equiv,0.1351  
./mergedHard_CallMerge/NEQ_LoopUnreach20EXTRA_ultra_prime_sum/libB: not equiv,17.1547  ; unknown,0.0000   ; not equiv,3.4711  
./mergedHard_CallMerge/NEQ_getSignEQ_UnchLoop/libA: equiv,0.7053   ; unknown,0.0000   ; equiv,0.0781  
./mergedHard_CallMerge/NEQ_getSignEQ_UnchLoop/libB: equiv,40.2373  ; unknown,0.0000   ; equiv,0.1005  
./mergedHard_CallMerge/NEQ_getSignEQ_is_prime2/libA: not equiv,0.4039   ; unknown,0.0000   ; not equiv,0.1412  
./mergedHard_CallMerge/NEQ_getSignEQ_is_prime2/libB: equiv,0.9217   ; unknown,0.0000   ; equiv,0.6920  
./mergedHard_CallMerge/NEQ_getSignEQ_odd/libA: not equiv,0.3838   ; unknown,0.0000   ; not equiv,0.1418  
./mergedHard_CallMerge/NEQ_getSignEQ_odd/libB: not equiv,0.7293   ; unknown,0.0000   ; not equiv,0.5878  
./mergedHard_CallMerge/NEQ_getSignEQ_pos/libA: not equiv,0.4096   ; unknown,0.0000   ; not equiv,0.1414  
./mergedHard_CallMerge/NEQ_getSignEQ_pos/libB: not equiv,0.4557   ; unknown,0.0000   ; not equiv,0.1744  
./mergedHard_CallMerge/NEQ_getSignEQ_pos2/libA: not equiv,0.4071   ; unknown,0.0000   ; not equiv,0.1427  
./mergedHard_CallMerge/NEQ_getSignEQ_pos2/libB: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/NEQ_getSignEXTRA_ultra_prime_sum/libA: equiv,2.4731   ; unknown,0.0000   ; not equiv,0.1387  
./mergedHard_CallMerge/NEQ_getSignEXTRA_ultra_prime_sum/libB: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
