./mergedHard/EXTRA_prime_sumNEQ_LoopUnreach20/libB: not equiv,0.9818   ; not equiv,1.6944   ; not equiv,0.1585  
./mergedHard/EXTRA_prime_sumNEQ_getSign/libA: not equiv,83.6655  ; not equiv,48.7669  ; not equiv,106.0714
./mergedHard/EXTRA_prime_sumNEQ_getSign/libB: not equiv,1.8972   ; not equiv,2.0317   ; not equiv,0.1488  
./mergedHard/NEQ_LoopMult20EQ_UnchLoop/libA: not equiv,0.6000   ; not equiv,0.9142   ; not equiv,0.1470  
./mergedHard/NEQ_LoopMult20EQ_UnchLoop/libB: equiv,0.4273   ; equiv,0.6141   ; equiv,0.2607  
./mergedHard/NEQ_LoopMult20EQ_is_prime2/libA: not equiv,0.6722   ; not equiv,1.0044   ; not equiv,0.1391  
./mergedHard/NEQ_LoopMult20EQ_is_prime2/libB: equiv,1.1520   ; equiv,1.4197   ; timeout,300.0000
./mergedHard/NEQ_LoopMult20EQ_odd/libA: not equiv,0.8161   ; not equiv,1.1084   ; not equiv,0.5213  
./mergedHard/NEQ_LoopMult20EQ_odd/libB: not equiv,1.1193   ; not equiv,1.4285   ; not equiv,2.3463  
./mergedHard/NEQ_LoopMult20EQ_pos/libA: not equiv,0.8320   ; not equiv,1.1682   ; not equiv,0.2744  
./mergedHard/NEQ_LoopMult20EQ_pos/libB: not equiv,0.6219   ; not equiv,0.9476   ; not equiv,0.2781  
./mergedHard/NEQ_LoopMult20EQ_pos2/libA: not equiv,0.7998   ; not equiv,1.1760   ; not equiv,0.2691  
./mergedHard/NEQ_LoopMult20EQ_pos2/libB: equiv,37.6392  ; equiv,38.0809  ; timeout,300.0000
./mergedHard/NEQ_LoopMult20EXTRA_prime_sum/libA: not equiv,2.6203   ; not equiv,4.3216   ; not equiv,0.3126  
./mergedHard/NEQ_LoopMult20EXTRA_prime_sum/libB: not equiv,68.7710  ; not equiv,76.9821  ; not equiv,2.5778  
./mergedHard/NEQ_LoopUnreach20EQ_UnchLoop/libA: not equiv,0.4936   ; not equiv,0.7884   ; not equiv,0.1334  
./mergedHard/NEQ_LoopUnreach20EQ_UnchLoop/libB: equiv,0.4231   ; equiv,0.5772   ; equiv,0.2546  
./mergedHard/NEQ_LoopUnreach20EQ_is_prime2/libA: not equiv,0.5464   ; not equiv,0.8787   ; not equiv,0.1574  
./mergedHard/NEQ_LoopUnreach20EQ_is_prime2/libB: equiv,1.1723   ; equiv,1.4023   ; timeout,300.0000
./mergedHard/NEQ_LoopUnreach20EQ_odd/libA: not equiv,0.5371   ; not equiv,0.8629   ; not equiv,0.1441  
./mergedHard/NEQ_LoopUnreach20EQ_odd/libB: not equiv,1.0997   ; not equiv,1.5154   ; not equiv,2.3643  
./mergedHard/NEQ_LoopUnreach20EQ_pos/libA: not equiv,0.6582   ; not equiv,0.9564   ; not equiv,0.1712  
./mergedHard/NEQ_LoopUnreach20EQ_pos/libB: not equiv,0.6043   ; not equiv,0.9902   ; not equiv,0.2790  
./mergedHard/NEQ_LoopUnreach20EQ_pos2/libA: not equiv,0.6063   ; not equiv,0.9444   ; not equiv,0.1668  
./mergedHard/NEQ_LoopUnreach20EQ_pos2/libB: equiv,37.6571  ; equiv,38.0458  ; timeout,300.0000
./mergedHard/NEQ_LoopUnreach20EXTRA_prime_sum/libA: not equiv,0.9514   ; not equiv,1.6563   ; not equiv,0.1597  
./mergedHard/NEQ_LoopUnreach20EXTRA_prime_sum/libB: not equiv,66.0367  ; not equiv,78.5287  ; not equiv,2.6435  
./mergedHard/NEQ_getSignEQ_UnchLoop/libA: not equiv,0.4242   ; not equiv,0.7136   ; not equiv,0.1300  
./mergedHard/NEQ_getSignEQ_UnchLoop/libB: equiv,30.3409  ; equiv,30.7223  ; timeout,300.0000
./mergedHard/NEQ_getSignEQ_is_prime2/libA: not equiv,0.5289   ; not equiv,0.8794   ; not equiv,0.1717  
./mergedHard/NEQ_getSignEQ_is_prime2/libB: equiv,1.0428   ; equiv,1.3147   ; timeout,300.0000
./mergedHard/NEQ_getSignEQ_odd/libA: not equiv,0.5178   ; not equiv,0.8883   ; not equiv,0.1490  
./mergedHard/NEQ_getSignEQ_odd/libB: not equiv,0.7903   ; not equiv,1.1322   ; not equiv,0.4267  
./mergedHard/NEQ_getSignEQ_pos/libA: not equiv,0.5556   ; not equiv,0.9416   ; not equiv,0.1825  
./mergedHard/NEQ_getSignEQ_pos/libB: not equiv,0.5792   ; not equiv,0.9181   ; not equiv,0.2293  
./mergedHard/NEQ_getSignEQ_pos2/libA: not equiv,0.5776   ; not equiv,0.9102   ; not equiv,0.1835  
./mergedHard/NEQ_getSignEQ_pos2/libB: equiv,38.2280  ; equiv,38.6182  ; timeout,300.0000
./mergedHard/NEQ_getSignEXTRA_prime_sum/libA: not equiv,1.9055   ; not equiv,1.5544   ; not equiv,0.1612  
./mergedHard/NEQ_getSignEXTRA_prime_sum/libB: not equiv,78.5322  ; not equiv,50.8159  ; not equiv,61.6884 
