./nestedMerge/EQ_LoopMult20EQ_multiple/libA CC2-Hybrid: equiv    ,1.0600   (Solve) ,,0.341  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.3000  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_LoopMult20EQ_multipleBound/libA CC2-Hybrid: equiv    ,1.1200   (Solve) ,,0.388  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.3300  	llReve: equiv    ,0.0300  
./nestedMerge/EQ_LoopMult20EQ_odd/libA CC2-Hybrid: equiv    ,1.2500   (Solve) ,,0.535  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.3700  	llReve: unknown  ,0.0400  
./nestedMerge/EQ_LoopMult20EQ_one/libA CC2-Hybrid: equiv    ,0.5300   (Solve) ,,0.191  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2800  	llReve: equiv    ,0.0300  
./nestedMerge/EQ_LoopMult20EQ_oneBound/libA CC2-Hybrid: equiv    ,0.5800   (Solve) ,,0.201  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2900  	llReve: equiv    ,0.0400  
./nestedMerge/EQ_LoopMult20EQ_oneN2/libA CC2-Hybrid: equiv    ,0.5300   (Solve) ,,0.189  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2700  	llReve: equiv    ,0.0400  
./nestedMerge/EQ_LoopMult20EQ_pos/libA CC2-Hybrid: equiv    ,0.8100   (Solve) ,,0.470  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.5500  	llReve: unknown  ,0.0400  
./nestedMerge/EQ_LoopMult20EQ_pos2/libA CC2-Hybrid: equiv    ,0.4200   (Solve) ,,0.114  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.5700  	llReve: not equiv ,0.0600  
./nestedMerge/EQ_LoopMult20EQ_pos3/libA CC2-Hybrid: equiv    ,1.0500   (Solve) ,,0.325  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2600  	llReve: equiv    ,0.0300  
./nestedMerge/EQ_LoopMult20EXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,78.3200  (Solve) ,,76.902 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.5200  	llReve: timeout  ,300.0000
./nestedMerge/EQ_LoopMult20NEQ_LoopMult20/libA CC2-Hybrid: not equiv ,2.5000   (Solve) ,,1.588  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.4700  	llReve: not equiv ,0.1900  
./nestedMerge/EQ_LoopMult20NEQ_LoopUnreach20/libA CC2-Hybrid: not equiv ,0.5500   (Solve) ,,0.137  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.2900  	llReve: not equiv ,0.0200  
./nestedMerge/EQ_LoopMult20NEQ_getSign/libA CC2-Hybrid: equiv    ,1.0900   (Solve) ,,0.369  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2800  	llReve: equiv    ,0.0300  
./nestedMerge/EQ_LoopUnreach20EQ_LoopMult20/libA CC2-Hybrid: equiv    ,1.8100   (Solve) ,,1.048  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.5300  	llReve: equiv    ,9.0000  
./nestedMerge/EQ_LoopUnreach20EQ_UnchLoop/libA CC2-Hybrid: equiv    ,40.4700  (Solve) ,,40.151 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.3700  	llReve: equiv    ,0.1600  
./nestedMerge/EQ_LoopUnreach20EQ_odd/libA CC2-Hybrid: equiv    ,1.5300   (Solve) ,,0.622  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.4200  	llReve: unknown  ,0.0300  
./nestedMerge/EQ_LoopUnreach20EQ_pos/libA CC2-Hybrid: equiv    ,1.0300   (Solve) ,,0.599  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.6200  	llReve: unknown  ,0.0300  
./nestedMerge/EQ_LoopUnreach20EQ_pos2/libA CC2-Hybrid: equiv    ,0.5000   (Solve) ,,0.147  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.6400  	llReve: not equiv ,0.0400  
./nestedMerge/EQ_LoopUnreach20EXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,86.0400  (Solve) ,,84.301 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.5900  	llReve: timeout  ,300.0000
./nestedMerge/EQ_UnchLoopEQ_Add/libA CC2-Hybrid: equiv    ,0.3000   (Solve) ,,0.035  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2300  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_Const/libA CC2-Hybrid: equiv    ,0.2800   (Solve) ,,0.030  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2300  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_LoopMult20/libA CC2-Hybrid: equiv    ,1.1700   (Solve) ,,0.286  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2300  	llReve: equiv    ,0.0300  
./nestedMerge/EQ_UnchLoopEQ_LoopUnreach20/libA CC2-Hybrid: equiv    ,1.1500   (Solve) ,,0.288  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2400  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_UnchLoop/libA CC2-Hybrid: equiv    ,40.4300  (Solve) ,,40.157 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2300  	llReve: equiv    ,0.1400  
./nestedMerge/EQ_UnchLoopEQ_divide/libA CC2-Hybrid: equiv    ,0.3000   (Solve) ,,0.042  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2100  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_getSign2/libA CC2-Hybrid: equiv    ,0.9100   (Solve) ,,0.217  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2100  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_is_prime1/libA CC2-Hybrid: equiv    ,1.1200   (Solve) ,,0.382  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2200  	llReve: unknown  ,0.0100  
./nestedMerge/EQ_UnchLoopEQ_is_prime2/libA CC2-Hybrid: equiv    ,2.1800   (Solve) ,,1.349  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2200  	llReve: unknown  ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_is_prime3/libA CC2-Hybrid: equiv    ,1.4000   (Solve) ,,0.433  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2300  	llReve: unknown  ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_ltfive/libA CC2-Hybrid: equiv    ,1.2200   (Solve) ,,0.452  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2100  	llReve: equiv    ,0.0200  
