./mergedHard_CallMerge/EQ_LoopUnreach20EXTRA_ultra_prime_sum/libB: not equiv,17.2734  ; unknown,0.0000   ; not equiv,3.4765  
./mergedHard_CallMerge/EQ_UnchLoopEQ_Add/libA: equiv,40.2370  ; unknown,0.0000   ; equiv,0.1067  
./mergedHard_CallMerge/EQ_UnchLoopEQ_Add/libB: equiv,0.1268   ; unknown,0.0000   ; equiv,0.0877  
./mergedHard_CallMerge/EQ_UnchLoopEQ_Const/libA: equiv,40.2398  ; unknown,0.0000   ; equiv,0.1138  
./mergedHard_CallMerge/EQ_UnchLoopEQ_Const/libB: equiv,0.1368   ; unknown,0.0000   ; equiv,0.0973  
./mergedHard_CallMerge/EQ_UnchLoopEQ_LoopMult20/libA: equiv,0.1791   ; unknown,0.0000   ; equiv,0.1020  
./mergedHard_CallMerge/EQ_UnchLoopEQ_LoopMult20/libB: equiv,0.1818   ; unknown,0.0000   ; equiv,0.1066  
./mergedHard_CallMerge/EQ_UnchLoopEQ_LoopUnreach20/libA: equiv,0.1818   ; unknown,0.0000   ; equiv,0.1007  
./mergedHard_CallMerge/EQ_UnchLoopEQ_LoopUnreach20/libB: equiv,0.1787   ; unknown,0.0000   ; equiv,0.1027  
./mergedHard_CallMerge/EQ_UnchLoopEQ_UnchLoop/libA: equiv,40.2851  ; unknown,0.0000   ; equiv,0.1755  
./mergedHard_CallMerge/EQ_UnchLoopEQ_UnchLoop/libB: equiv,40.5648  ; unknown,0.0000   ; equiv,0.2553  
./mergedHard_CallMerge/EQ_UnchLoopEQ_divide/libA: equiv,0.6356   ; unknown,0.0000   ; equiv,0.3806  
./mergedHard_CallMerge/EQ_UnchLoopEQ_divide/libB: equiv,0.4389   ; unknown,0.0000   ; equiv,0.3352  
./mergedHard_CallMerge/EQ_UnchLoopEQ_getSign2/libA: equiv,0.5127   ; unknown,0.0000   ; equiv,0.4509  
./mergedHard_CallMerge/EQ_UnchLoopEQ_getSign2/libB: equiv,0.5135   ; unknown,0.0000   ; equiv,0.3046  
./mergedHard_CallMerge/EQ_UnchLoopEQ_is_prime1/libA: equiv,0.5078   ; unknown,0.0000   ; equiv,0.3390  
./mergedHard_CallMerge/EQ_UnchLoopEQ_is_prime1/libB: equiv,0.4966   ; unknown,0.0000   ; equiv,0.2565  
./mergedHard_CallMerge/EQ_UnchLoopEQ_is_prime2/libA: equiv,0.5570   ; unknown,0.0000   ; equiv,0.3867  
./mergedHard_CallMerge/EQ_UnchLoopEQ_is_prime2/libB: equiv,0.4995   ; unknown,0.0000   ; equiv,0.2808  
./mergedHard_CallMerge/EQ_UnchLoopEQ_is_prime3/libA: equiv,81.5716  ; unknown,0.0000   ; equiv,0.4377  
./mergedHard_CallMerge/EQ_UnchLoopEQ_is_prime3/libB: unknown,0.0000   ; unknown,0.0000   ; equiv,0.1966  
./mergedHard_CallMerge/EQ_UnchLoopEQ_ltfive/libA: equiv,1.1545   ; unknown,0.0000   ; equiv,1.1445  
./mergedHard_CallMerge/EQ_UnchLoopEQ_ltfive/libB: equiv,0.6006   ; unknown,0.0000   ; equiv,0.2861  
./mergedHard_CallMerge/EQ_UnchLoopEQ_ltfiveBound/libA: equiv,0.8038   ; unknown,0.0000   ; equiv,0.3195  
./mergedHard_CallMerge/EQ_UnchLoopEQ_ltfiveBound/libB: equiv,0.6837   ; unknown,0.0000   ; equiv,0.2847  
./mergedHard_CallMerge/EQ_UnchLoopEQ_multiple/libA: equiv,4.7953   ; unknown,0.0000   ; equiv,4.1711  
./mergedHard_CallMerge/EQ_UnchLoopEQ_multiple/libB: equiv,0.5182   ; unknown,0.0000   ; equiv,0.1610  
./mergedHard_CallMerge/EQ_UnchLoopEQ_multipleBound/libA: equiv,0.5044   ; unknown,0.0000   ; equiv,0.2692  
./mergedHard_CallMerge/EQ_UnchLoopEQ_multipleBound/libB: equiv,0.5759   ; unknown,0.0000   ; equiv,0.2921  
./mergedHard_CallMerge/EQ_UnchLoopEQ_odd/libA: equiv,0.5864   ; unknown,0.0000   ; equiv,0.4507  
./mergedHard_CallMerge/EQ_UnchLoopEQ_odd/libB: equiv,11.1059  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_UnchLoopEQ_one/libA: equiv,0.3289   ; unknown,0.0000   ; equiv,0.2148  
./mergedHard_CallMerge/EQ_UnchLoopEQ_one/libB: unknown,0.0000   ; unknown,0.0000   ; equiv,0.0921  
./mergedHard_CallMerge/EQ_UnchLoopEQ_oneBound/libA: equiv,0.2040   ; unknown,0.0000   ; equiv,0.0923  
./mergedHard_CallMerge/EQ_UnchLoopEQ_oneBound/libB: unknown,0.0000   ; unknown,0.0000   ; equiv,0.0934  
./mergedHard_CallMerge/EQ_UnchLoopEQ_oneN2/libA: equiv,0.3093   ; unknown,0.0000   ; equiv,0.2130  
./mergedHard_CallMerge/EQ_UnchLoopEQ_oneN2/libB: unknown,0.0000   ; unknown,0.0000   ; equiv,0.0955  
./mergedHard_CallMerge/EQ_UnchLoopEQ_pos/libA: equiv,0.1935   ; unknown,0.0000   ; equiv,0.0917  
./mergedHard_CallMerge/EQ_UnchLoopEQ_pos/libB: unknown,0.0000   ; unknown,0.0000   ; equiv,0.0928  
./mergedHard_CallMerge/EQ_UnchLoopEQ_pos2/libA: equiv,0.1915   ; unknown,0.0000   ; equiv,0.0911  
./mergedHard_CallMerge/EQ_UnchLoopEQ_pos2/libB: equiv,10.3691  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_UnchLoopEXTRA_ultra_prime_sum/libA: equiv,120.8605 ; unknown,0.0000   ; equiv,165.5516
./mergedHard_CallMerge/EQ_UnchLoopEXTRA_ultra_prime_sum/libB: equiv,93.3590  ; unknown,0.0000   ; equiv,0.2623  
