./mergedHard/EQ_UnchLoopEQ_Const/libA: equiv,0.1850   ; equiv,0.3035   ; equiv,0.1369   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_LoopMult20/libA: equiv,0.2098   ; equiv,0.3526   ; equiv,0.1514   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_LoopUnreach20/libA: equiv,0.2155   ; equiv,0.3622   ; equiv,0.1459   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_UnchLoop/libA: equiv,0.1853   ; equiv,0.3119   ; equiv,0.1460   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_divide/libA: equiv,0.2144   ; equiv,0.3243   ; equiv,0.1465   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_getSign2/libA: equiv,0.2076   ; equiv,0.3263   ; equiv,0.1260   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_is_prime1/libA: equiv,0.1904   ; equiv,0.3421   ; equiv,0.1461   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_is_prime2/libA: equiv,0.2396   ; equiv,0.3622   ; equiv,0.1261   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_is_prime3/libA: equiv,0.4480   ; equiv,0.5240   ; equiv,0.2721   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_ltfive/libA: equiv,0.2768   ; equiv,0.4191   ; equiv,0.1355   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_ltfiveBound/libA: equiv,0.3062   ; equiv,0.4473   ; equiv,0.1361   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_multiple/libA: equiv,0.2160   ; equiv,0.3791   ; equiv,0.1459   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_multipleBound/libA: equiv,0.2384   ; equiv,0.3791   ; equiv,0.1367   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_odd/libA: equiv,0.2094   ; equiv,0.3743   ; equiv,0.1506   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_one/libA: equiv,0.2326   ; equiv,0.3939   ; equiv,0.1511   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_oneBound/libA: equiv,0.2616   ; equiv,0.4064   ; equiv,0.1463   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_oneN2/libA: equiv,0.2339   ; equiv,0.3986   ; equiv,0.1301   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_pos/libA: equiv,0.2460   ; equiv,0.3765   ; equiv,0.1269   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_pos2/libA: equiv,0.2425   ; equiv,0.3950   ; equiv,0.1463   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_pos3/libA: equiv,0.2084   ; equiv,0.3550   ; equiv,0.1410   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEXTRA_ultra_prime_sum/libA: equiv,40.6679  ; equiv,40.7603  ; equiv,40.6173  ; unknown,0.0000  
./mergedHard/EQ_UnchLoopNEQ_LoopMult20/libA: equiv,0.2282   ; equiv,0.4154   ; equiv,0.1728   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopNEQ_LoopUnreach20/libA: equiv,0.2295   ; equiv,0.3758   ; equiv,0.1683   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopNEQ_getSign/libA: equiv,0.2080   ; equiv,0.3740   ; equiv,0.1609   ; unknown,0.0000  
./mergedHard/EQ_divideEQ_LoopMult20/libA: equiv,0.2341   ; equiv,0.3796   ; equiv,0.1547   ; unknown,0.0000  
./mergedHard/EQ_divideEQ_UnchLoop/libA: equiv,0.2147   ; equiv,0.3483   ; equiv,0.1427   ; unknown,0.0000  
./mergedHard/EQ_divideEQ_odd/libA: equiv,0.2282   ; equiv,0.3917   ; equiv,0.1481   ; unknown,0.0000  
./mergedHard/EQ_divideEQ_pos/libA: equiv,0.2666   ; equiv,0.4795   ; equiv,0.1704   ; unknown,0.0000  
./mergedHard/EQ_divideEQ_pos2/libA: equiv,0.2696   ; equiv,0.4356   ; equiv,0.1594   ; unknown,0.0000  
./mergedHard/EQ_divideEXTRA_ultra_prime_sum/libA: equiv,0.5670   ; equiv,0.7125   ; equiv,0.2545   ; unknown,0.0000  
./mergedHard/EQ_getSign2EQ_LoopMult20/libA: equiv,0.4451   ; equiv,0.7209   ; equiv,0.3513   ; unknown,0.0000  
./mergedHard/EQ_getSign2EQ_UnchLoop/libA: equiv,0.3479   ; equiv,0.6214   ; equiv,0.2467   ; unknown,0.0000  
./mergedHard/EQ_getSign2EQ_odd/libA: not equiv,0.6590   ; not equiv,1.2348   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_getSign2EQ_pos/libA: not equiv,0.7358   ; not equiv,1.3917   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_getSign2EQ_pos2/libA: not equiv,0.7541   ; not equiv,1.2385   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_getSign2EXTRA_ultra_prime_sum/libA: not equiv,2.7516   ; not equiv,3.5507   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_is_prime1EQ_LoopMult20/libA: not equiv,1.2692   ; not equiv,1.8454   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_is_prime1EQ_UnchLoop/libA: not equiv,0.6040   ; not equiv,1.0579   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_is_prime1EQ_odd/libA: not equiv,1.3117   ; not equiv,1.8105   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_is_prime1EQ_pos/libA: equiv,2.0556   ; equiv,2.3178   ; equiv,1.8026   ; unknown,0.0000  
./mergedHard/EQ_is_prime1EQ_pos2/libA: equiv,2.1029   ; equiv,2.3319   ; equiv,1.8165   ; unknown,0.0000  
./mergedHard/EQ_is_prime1EXTRA_ultra_prime_sum/libA: timeout,300.0000 ; timeout,300.0000 ; timeout,300.0000 ; unknown,0.0000  
