./multLibs/EQ_Add/1 : equiv,0.1272   ; equiv,0.1321   ; equiv,0.0875  
./multLibs/EQ_Add/10: equiv,0.2895   ; equiv,0.4199   ; equiv,0.0989  
./multLibs/EQ_Add/11: equiv,0.3325   ; equiv,0.4766   ; equiv,0.0952  
./multLibs/EQ_Add/12: equiv,0.3586   ; equiv,0.4826   ; equiv,0.0985  
./multLibs/EQ_Add/2 : equiv,0.1458   ; equiv,0.2831   ; equiv,0.0916  
./multLibs/EQ_Add/3 : equiv,0.1587   ; equiv,0.3133   ; equiv,0.0931  
./multLibs/EQ_Add/4 : equiv,0.1706   ; equiv,0.2811   ; equiv,0.0942  
./multLibs/EQ_Add/5 : equiv,0.1934   ; equiv,0.3498   ; equiv,0.0739  
./multLibs/EQ_Add/6 : equiv,0.2090   ; equiv,0.3634   ; equiv,0.0886  
./multLibs/EQ_Add/7 : equiv,0.2309   ; equiv,0.3612   ; equiv,0.0936  
./multLibs/EQ_Add/8 : equiv,0.2536   ; equiv,0.3416   ; equiv,0.0884  
./multLibs/EQ_Add/9 : equiv,0.2794   ; equiv,0.3932   ; equiv,0.0956  
./multLibs/EQ_Const/1: equiv,0.1250   ; equiv,0.1267   ; equiv,0.0935  
./multLibs/EQ_Const/10: equiv,0.3063   ; equiv,0.4087   ; equiv,0.0976  
./multLibs/EQ_Const/11: equiv,0.3274   ; equiv,0.4336   ; equiv,0.0948  
./multLibs/EQ_Const/12: equiv,0.3563   ; equiv,0.4762   ; equiv,0.0964  
./multLibs/EQ_Const/2: equiv,0.1454   ; equiv,0.2959   ; equiv,0.0899  
./multLibs/EQ_Const/3: equiv,0.1577   ; equiv,0.3077   ; equiv,0.0987  
./multLibs/EQ_Const/4: equiv,0.1674   ; equiv,0.3013   ; equiv,0.0948  
./multLibs/EQ_Const/5: equiv,0.1949   ; equiv,0.2926   ; equiv,0.0907  
./multLibs/EQ_Const/6: equiv,0.2113   ; equiv,0.3549   ; equiv,0.0914  
./multLibs/EQ_Const/7: equiv,0.2266   ; equiv,0.4055   ; equiv,0.0972  
./multLibs/EQ_Const/8: equiv,0.2531   ; equiv,0.3631   ; equiv,0.0955  
./multLibs/EQ_Const/9: equiv,0.2772   ; equiv,0.3920   ; equiv,0.0942  
./multLibs/EQ_LoopMult20/1: equiv,1.3307   ; equiv,1.3440   ; equiv,0.2645  
./multLibs/EQ_LoopMult20/10: equiv,3.3860   ; equiv,3.5946   ; timeout,300.0000
./multLibs/EQ_LoopMult20/11: equiv,4.0203   ; equiv,4.2312   ; timeout,300.0000
./multLibs/EQ_LoopMult20/12: equiv,4.7526   ; equiv,5.0046   ; timeout,300.0000
./multLibs/EQ_LoopMult20/2: equiv,0.6095   ; equiv,0.7882   ; equiv,0.5869  
./multLibs/EQ_LoopMult20/3: equiv,0.8342   ; equiv,1.0743   ; equiv,1.8201  
./multLibs/EQ_LoopMult20/4: equiv,1.0374   ; equiv,1.2504   ; equiv,8.6205  
./multLibs/EQ_LoopMult20/5: equiv,1.2735   ; equiv,1.4488   ; equiv,50.1528 
./multLibs/EQ_LoopMult20/6: equiv,1.5716   ; equiv,1.7835   ; timeout,300.0000
./multLibs/EQ_LoopMult20/7: equiv,1.9078   ; equiv,2.1365   ; timeout,300.0000
./multLibs/EQ_LoopMult20/8: equiv,2.3122   ; equiv,2.5521   ; timeout,300.0000
./multLibs/EQ_LoopMult20/9: equiv,2.8487   ; equiv,3.0694   ; timeout,300.0000
./multLibs/EQ_LoopUnreach2/1: equiv,0.9231   ; equiv,0.9415   ; equiv,0.0942  
./multLibs/EQ_LoopUnreach2/10: equiv,3.5874   ; equiv,6.2710   ; equiv,0.1033  
./multLibs/EQ_LoopUnreach2/11: equiv,3.6886   ; equiv,6.3223   ; equiv,0.1077  
./multLibs/EQ_LoopUnreach2/12: equiv,3.7765   ; equiv,6.4992   ; equiv,0.1135  
./multLibs/EQ_LoopUnreach2/2: equiv,3.1898   ; equiv,5.4835   ; equiv,0.0939  
./multLibs/EQ_LoopUnreach2/3: equiv,3.2454   ; equiv,5.7252   ; equiv,0.0949  
./multLibs/EQ_LoopUnreach2/4: equiv,3.2775   ; equiv,5.8126   ; equiv,0.1027  
./multLibs/EQ_LoopUnreach2/5: equiv,3.3094   ; equiv,5.7185   ; equiv,0.0992  
./multLibs/EQ_LoopUnreach2/6: equiv,3.3786   ; equiv,5.9072   ; equiv,0.0987  
./multLibs/EQ_LoopUnreach2/7: equiv,3.4047   ; equiv,6.0198   ; equiv,0.0999  
./multLibs/EQ_LoopUnreach2/8: equiv,3.5103   ; equiv,6.1482   ; equiv,0.1020  
