./mergedHard/EQ_AddEQ_UnchLoop/libA: equiv,0.1573   ; unknown,0.0000   ; equiv,0.0811  
./mergedHard/EQ_AddEQ_UnchLoop/libB: equiv,40.2295  ; unknown,0.0000   ; equiv,0.1002  
./mergedHard/EQ_AddEQ_is_prime2/libA: equiv,0.2067   ; unknown,0.0000   ; equiv,0.1088  
./mergedHard/EQ_AddEQ_is_prime2/libB: not equiv,0.9977   ; unknown,0.0000   ; not equiv,0.6194  
./mergedHard/EQ_AddEQ_odd/libA: equiv,0.1780   ; unknown,0.0000   ; equiv,0.1076  
./mergedHard/EQ_AddEQ_odd/libB: equiv,11.6643  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_AddEQ_pos/libA: equiv,0.2223   ; unknown,0.0000   ; equiv,0.1055  
./mergedHard/EQ_AddEQ_pos/libB: not equiv,0.4978   ; unknown,0.0000   ; not equiv,0.1908  
./mergedHard/EQ_AddEQ_pos2/libA: equiv,0.2048   ; unknown,0.0000   ; equiv,0.1052  
./mergedHard/EQ_AddEQ_pos2/libB: equiv,12.9190  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_AddEXTRA_ultra_prime_sum/libA: equiv,0.4424   ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_AddEXTRA_ultra_prime_sum/libB: not equiv,44.3611  ; unknown,0.0000   ; not equiv,0.1424  
./mergedHard/EQ_ConstEQ_UnchLoop/libA: equiv,0.1315   ; unknown,0.0000   ; equiv,0.0788  
./mergedHard/EQ_ConstEQ_UnchLoop/libB: equiv,40.2381  ; unknown,0.0000   ; equiv,0.0982  
./mergedHard/EQ_ConstEQ_is_prime2/libA: equiv,0.2082   ; unknown,0.0000   ; equiv,0.1083  
./mergedHard/EQ_ConstEQ_is_prime2/libB: not equiv,0.9882   ; unknown,0.0000   ; not equiv,0.6140  
./mergedHard/EQ_ConstEQ_odd/libA: equiv,0.1802   ; unknown,0.0000   ; equiv,0.1086  
./mergedHard/EQ_ConstEQ_odd/libB: equiv,11.6433  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_ConstEQ_pos/libA: equiv,0.2273   ; unknown,0.0000   ; equiv,0.1060  
./mergedHard/EQ_ConstEQ_pos/libB: not equiv,0.4961   ; unknown,0.0000   ; not equiv,0.1889  
./mergedHard/EQ_ConstEQ_pos2/libA: equiv,0.2072   ; unknown,0.0000   ; equiv,0.1061  
./mergedHard/EQ_ConstEQ_pos2/libB: equiv,12.8896  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_ConstEXTRA_ultra_prime_sum/libA: equiv,0.4420   ; unknown,0.0000   ; timeout,300.0000
